Date,true_unsmoothed_return
2023-06-26,0.0031743161956076524
2023-06-27,0.00409273694839913
2023-06-28,-0.008143131210729205
2023-06-29,0.003353405751150838
2023-06-30,0.017351910649496854
2023-07-03,0.029363818469145878
2023-07-05,-0.009364692858745376
2023-07-06,-0.02344172822942736
2023-07-07,0.0142745932513073
2023-07-10,0.0023783126739228616
2023-07-11,0.02915879196408088
2023-07-12,0.001604878467316198
2023-07-13,0.002025843442796743
2023-07-14,-0.017089536441174235
2023-07-17,0.007536820860186329
2023-07-18,-0.026691000583415243
2023-07-19,-0.005378218835144585
2023-07-20,-0.006905342927931808
2023-07-21,-0.04650178806509113
2023-07-24,-0.03220869986263419
2023-07-25,0.0012028365140810647
2023-07-26,-0.006882018798019467
2023-07-27,-0.027603065828008064
2023-07-28,-0.0033317321702441213
2023-07-31,-0.016772609388347025
2023-08-01,0.007102151386477783
2023-08-02,-0.01661113755723783
2023-08-03,0.0019955425921782486
2023-08-04,-0.013489201658369625
2023-08-07,0.0018596210464565553
2023-08-09,-0.041225953210190694
2023-08-11,-0.004681395983258094
2023-08-15,-0.0822374567665572
2023-08-16,-0.027641019366994694
2023-08-17,-0.026647376770545107
2023-08-18,-0.030110340361800318
2023-08-21,-0.0053993713673927135
2023-08-22,0.01526193542246236
2023-08-23,0.030374354817575513
2023-08-24,-0.027412364094255945
2023-08-25,-0.01090937326909542
2023-08-28,-0.02459347457359149
2023-08-29,0.041921629275420216
2023-08-30,-0.03665490720802935
2023-08-31,0.01249144169692045
2023-09-01,-0.004219500488786837
2023-09-05,0.015106711512881088
2023-09-06,-0.042299061500174887
2023-09-08,-0.015481725151463118
2023-09-11,-0.028957648140416258
2023-09-12,-0.016580822719778548
2023-09-13,-0.008835919375966875
2023-09-14,0.014207617282410842
2023-09-18,-0.05545353956358731
2023-09-19,-0.0019099192031054799
2023-09-20,-0.036707124126793764
2023-09-21,-0.03795894224753482
2023-09-22,0.0155371334392641
2023-09-25,-0.03157160488923925
2023-09-26,-0.0030643600964775017
2023-10-09,-0.01673833829136799
2023-10-10,0.03257598997773778
2023-10-11,-0.006255096693447892
2023-10-12,0.045180172899536776
2023-10-13,-0.019833076220036105
2023-10-16,0.007563057060245482
2023-10-17,0.009020235928538914
2023-10-18,-0.06308210345790155
2023-10-19,-0.03228358671491376
2023-10-20,-0.020797774108899193
2023-10-23,-0.038836852318431106
2023-10-24,0.04540217845248607
2023-10-25,-0.020896896205218257
2023-10-26,-0.004861637824142739
2023-10-27,-0.019901227268970176
2023-10-30,0.002519597139670258
2023-10-31,-0.017066920776133445
2023-11-01,-0.008856356101514721
2023-11-02,0.011783065698208542
2023-11-03,0.042198062427919805
2023-11-06,0.0032055411477144545
2023-11-07,-0.03788400730022608
2023-11-08,-0.014590739082026901
2023-11-09,-0.014811698896207239
2023-11-10,-0.02141663147408801
2023-11-13,-0.009742723289263006
2023-11-14,0.048389569089639206
2023-11-15,-0.018251016466837952
2023-11-16,-0.03810808345390173
2023-11-17,0.011093960058679554
2023-11-20,0.01247085436238627
2023-11-21,-0.0018616204520190052
2023-11-22,-0.0510122199936419
2023-11-24,-0.013953852026500475
2023-11-27,-0.04225188383275678
2023-11-28,-0.004449008486587755
2023-11-29,-0.02225404259544216
2023-11-30,0.00457183574053351
2023-12-01,-0.0009085995494831287
2023-12-04,-0.054935074940490346
2023-12-05,-0.05423899133972018
2023-12-06,0.0019061489876568902
2023-12-07,0.05445785129191019
2023-12-08,0.03540551494171364
2023-12-11,-0.031045429096559284
2023-12-12,-0.040296953437915964
2023-12-13,0.019882502929111957
2023-12-14,0.053902216656508
2023-12-15,0.020778112197165126
2023-12-18,0.006082261708773973
2023-12-19,0.0018873907269237149
2023-12-20,-0.02959663374902467
2023-12-21,-0.0006240190957587082
2023-12-22,-0.0016676902374201637
2023-12-26,0.02295181263774554
2023-12-27,-0.005139275082351827
2023-12-28,0.024922821472613918
2023-12-29,-0.023731574742956053
2024-01-02,-1.2265396085578417e-05
2024-01-03,-0.034185293001299064
2024-01-04,-0.01331406466221332
2024-01-05,-0.0045011289588593895
2024-01-08,-0.005709838170804077
2024-01-09,-0.016691009236462686
2024-01-10,-0.01953838910713604
2024-01-11,-0.001039332458831443
2024-01-12,-0.009746256261720463
2024-01-16,-0.02572166864572157
2024-01-17,-0.033247157945361754
2024-01-18,-0.010655362952581338
2024-01-19,-0.014741105287317627
2024-01-22,-0.032999368100720655
2024-01-23,0.00929357748911802
2024-01-24,0.002236696616973899
2024-01-25,-0.01182318832431857
2024-01-26,0.006791945467301186
2024-01-29,-0.020128728708834406
2024-01-30,-0.013581522095672177
2024-01-31,-0.04550049606617993
2024-02-01,0.015746561541133814
2024-02-02,-0.05153974718025811
2024-02-05,0.006104372274431835
2024-02-06,0.009295418760528702
2024-02-07,0.013194573745147436
2024-02-20,-0.021773327562089318
2024-02-21,0.028973242553217857
2024-02-22,-0.02291122431429864
2024-02-23,0.007611044971927708
2024-02-26,0.0060127651727736545
2024-02-27,0.037567504195428716
2024-02-28,0.025068625387289836
2024-02-29,0.06498405159761247
2024-03-01,0.031159081798288236
2024-03-04,-0.0009987150082023388
2024-03-05,-0.06844556671053377
2024-03-06,0.02814126672787489
2024-03-07,-0.02700647524478947
2024-03-08,0.01717349662216215
2024-03-11,0.053944631395844836
2024-03-12,0.009162172872112651
2024-03-13,0.046226111651634316
2024-03-14,-0.0479270152574627
2024-03-15,-0.02405733737666417
2024-03-18,-0.0020127666785281217
2024-03-19,0.015578169530895787
2024-03-20,0.007356464161522493
