Entity,Code,Year,Lithium Production-Reserves
World,OWID_WRL,1995,9485.481
World,OWID_WRL,1996,14783.804
World,OWID_WRL,1997,15591.14
World,OWID_WRL,1998,14192.644
World,OWID_WRL,1999,12875.787
World,OWID_WRL,2000,14283.851
World,OWID_WRL,2001,14002.716
World,OWID_WRL,2002,15486.188
World,OWID_WRL,2003,18086.103000000003
World,OWID_WRL,2004,19361.534
World,OWID_WRL,2005,20947.239
World,OWID_WRL,2006,24263.863
World,OWID_WRL,2007,26374.807
World,OWID_WRL,2008,26328.201
World,OWID_WRL,2009,19532.03
World,OWID_WRL,2010,26476.818000000003
World,OWID_WRL,2011,33033.84
World,OWID_WRL,2012,34745.956
World,OWID_WRL,2013,30391.504
World,OWID_WRL,2014,30951.284
World,OWID_WRL,2015,29543.085000000003
World,OWID_WRL,2016,38217.278
World,OWID_WRL,2017,50850.212
World,OWID_WRL,2018,95134.28
World,OWID_WRL,2019,86881.62
World,OWID_WRL,2020,83995.13
World,OWID_WRL,2021,105984.05
