Date,Close,lag_1_price,lag_1_log_return,lag_7_price,lag_7_log_return,lag_14_price,lag_14_log_return
2017-05-10,123000.0,,,,,,
2017-05-11,123000.0,123000.0,0.0,,,,
2017-05-12,123000.0,123000.0,0.0,,,,
2017-05-15,123000.0,,,,,,
2017-05-16,123000.0,123000.0,0.0,,,,
2017-05-17,123000.0,123000.0,0.0,123000.0,0.0,,
2017-05-18,123000.0,123000.0,0.0,123000.0,0.0,,
2017-05-19,124000.0,123000.0,0.008097210232619303,123000.0,0.008097210232619303,,
2017-05-22,124000.0,,,123000.0,0.008097210232619303,,
2017-05-23,124000.0,124000.0,0.0,123000.0,0.008097210232619303,,
2017-05-24,124000.0,124000.0,0.0,123000.0,0.008097210232619303,123000.0,0.008097210232619303
2017-05-25,124000.0,124000.0,0.0,123000.0,0.008097210232619303,123000.0,0.008097210232619303
2017-05-26,124000.0,124000.0,0.0,124000.0,0.0,123000.0,0.008097210232619303
2017-05-30,124000.0,,,124000.0,0.0,123000.0,0.008097210232619303
2017-05-31,124000.0,124000.0,0.0,124000.0,0.0,123000.0,0.008097210232619303
2017-06-01,124000.0,124000.0,0.0,124000.0,0.0,123000.0,0.008097210232619303
2017-06-02,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-05,124000.0,,,,,124000.0,0.0
2017-06-06,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-07,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-08,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-09,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-12,124000.0,,,124000.0,0.0,,
2017-06-13,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-14,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-15,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-16,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-19,124000.0,,,124000.0,0.0,124000.0,0.0
2017-06-20,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-21,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-22,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-23,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-26,124000.0,,,124000.0,0.0,124000.0,0.0
2017-06-27,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-28,124000.0,124000.0,0.0,124000.0,0.0,124000.0,0.0
2017-06-29,126000.0,124000.0,0.01600034134644112,124000.0,0.01600034134644112,124000.0,0.01600034134644112
2017-06-30,126000.0,126000.0,0.0,124000.0,0.01600034134644112,124000.0,0.01600034134644112
2017-07-03,126000.0,,,124000.0,0.01600034134644112,124000.0,0.01600034134644112
2017-07-04,126000.0,126000.0,0.0,124000.0,0.01600034134644112,124000.0,0.01600034134644112
2017-07-05,126000.0,126000.0,0.0,124000.0,0.01600034134644112,124000.0,0.01600034134644112
2017-07-06,126000.0,126000.0,0.0,126000.0,0.0,124000.0,0.01600034134644112
2017-07-07,126000.0,126000.0,0.0,126000.0,0.0,124000.0,0.01600034134644112
2017-07-10,126000.0,,,126000.0,0.0,124000.0,0.01600034134644112
2017-07-11,126000.0,126000.0,0.0,126000.0,0.0,124000.0,0.01600034134644112
2017-07-12,126000.0,126000.0,0.0,126000.0,0.0,124000.0,0.01600034134644112
2017-07-13,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-14,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-17,126000.0,,,126000.0,0.0,126000.0,0.0
2017-07-18,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-19,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-20,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-21,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-24,126000.0,,,126000.0,0.0,126000.0,0.0
2017-07-25,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-26,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-27,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-28,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-07-31,126000.0,,,126000.0,0.0,126000.0,0.0
2017-08-01,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-08-02,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-08-03,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-08-04,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-08-07,126000.0,,,126000.0,0.0,126000.0,0.0
2017-08-08,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-08-10,126000.0,,,126000.0,0.0,126000.0,0.0
2017-08-11,126000.0,126000.0,0.0,126000.0,0.0,126000.0,0.0
2017-08-14,126000.0,,,126000.0,0.0,126000.0,0.0
