,Organizations,Country,Value
11279, helix biopharma corp,USA,30
11281, hemlo explorers inc,AUS,54
11288, henderson international income trust plc,CZE,37
11290, hengli petrochemical co ltd,CHN,34
11294, henkel ag & co. kgaa,USA,39
11297, hercules capital inc,USA,59
11299, heritage cannabis holdings corp,CAN,42
11311, hess corporation,USA,136
11312, hexagon energy materials limited,AUS,250
11320, hexagon resources ltd,AUS,10
11321, hexima ltd,AUS,17
11324, high tide inc,CAN,16
11327, highfield resources ltd,AUS,15
11335, highgold mining inc,CAN,12
11342, hikma pharmaceuticals plc,MEX,190
11352, hillcrest energy technologies ltd,USA,24
11355, hindalco industries ltd.,IND,15
11359, hindustan copper limited,IND,62
11365, hindustan copper ltd.,IND,216
11404, hitachi zosen corporation,USA,169
11407, hk battery technology inc,CHN,21
11411, hochschild mining plc,AUS,36
11431, homag group,FIN,11
11442, home depot inc,USA,32
11448, homeserve plc,GBR,23
11515, honda motor co ltd adr,USA,649
11543, honeywell international inc,USA,55
11549, hong kong exchanges and clearing limited,CHN,57
11567, hope bancorp inc,AUS,14
11595, horizon minerals corp,USA,132
11598, horizonte minerals plc,BRA,10
11602, huaan securities co ltd,CHN,53
11624, hudbay minerals inc.,USA,141
11638, hummingbird resources plc,GBR,57
11673, hycroft mining holding corporation,USA,11
11675, hydro one limited,CAN,22
11682, hydrogen utopia international plc,GBR,10
11695, hyundai heavy industries holdings co ltd,CAN,26
11704, hyundai motor co drc,AUS,565
11749, iamgold corporation,CAN,18
11776, ibm cdr,USA,94
11779, icanic brands company inc,CAN,19
11821, iconic minerals ltd,USA,1739
11826, icraft co. ltd,USA,28
11829, idaho champion gold mines canada inc,USA,144
11833, idemitsu kosan co ltd adr,IND,10
11839, ig design group plc,USA,356
11857, iluka resources limited,AUS,30
11859, im cannabis corp,AUS,19
11878, imaginear inc,USA,71
11892, immunotech laboratories inc,CAN,110
11915, impact minerals ltd,AUS,1697
11960, impala platinum holdings limited,ZAF,143
11964, imperial oil limited,CAN,29
11971, imperial oil ltd,CAN,162
11982, imugene limited,AUS,40
11997, incannex healthcare limited,AUS,23
12008, independence gold corp,CAN,19
12014, independence group,AUS,161
12039, indian oil corporation limited,IND,159
12045, indiana resources limited,IND,10
12048, indigo exploration inc.,CAN,146
12069, industrial and commercial bank of china,USA,315
12075, industrial minerals ltd,CAN,582
12113, infinite ore corp,CAN,222
12125, infinitii ai inc.,JPN,16
12129, infinity lithium corporation limited,AUS,89
12153, infinity stone ventures corp.,BRA,164
12166, inflection resources ltd,AUS,31
12172, information services group inc,CAN,34
12186, infosys ltd adr,USA,356
12187, ingredion incorporated,CAN,18
12197, innospec inc,CHN,22
12200, innovative international acquisition corp,USA,10
12233, intellicheck mobilisa inc,USA,148
12234, interactive brokers group inc,CAN,16
12257, intercontinental exchange inc,ZWE,19
12286, international battery metals ltd,USA,438
12287, international business machines,AUS,45
12294, international consolidated airlines group s.a.,ARG,308
12325, international graphite,AUS,101
12335, international housewares retail co ltd,USA,15
12338, international lithium corp,AUS,3067
12393, international petroleum corporation,AUS,81
12400, international tower hill mines ltd,CHL,34
12408, internet initiative japan inc,CHN,33
12418, internet thailand public company limited,CHN,33
12449, intrepid potash inc,USA,262
12452, invesco value municipal income closed fund,CAN,10
12457, investec ltd adr,GBR,13
12460, investment ab latour (publ),AUS,88
12487, invinity energy systems plc,USA,139
12490, ion energy ltd,AUS,490
12528, ion exchange (india) limited,USA,139
12573, ioneer ltd,USA,2018
12577, ionic rare earths limited,AUS,16
12580, ipc corp. -loc.-,USA,32
12597, irwin naturals inc,GBR,14
12608, isuzu motors limited,USA,17
12611, itau unibanco holding sa,CHL,153
12615, itech minerals ltd,AUS,69
12622, ithaca energy plc,GBR,30
12633, itim group plc,GBR,27
12645, itochu corporation,JPN,24
12653, ivanhoe mines ltd.,CAN,142
12676, jackpot digital inc,CAN,10
12694, jacobs engineering group inc.,USA,17
12697, jaguar mining inc,CAN,44
12711, japan airlines ltd adr,JPN,15
12716, javelin minerals ltd,AUS,44
12746, jefferies financial group inc,USA,82
12747, jersey oil and gas plc,AUS,10
12760, jervois global limited,AUS,176
12772, jervois mining ltd,USA,48
12774, jetblue airways corp,USA,30
12790, jgc holdings corporation,USA,121
12812, jiangsu xinri e-vehicle co ltd,USA,10
12821, jiangxi ganfeng lithium co ltd,CHN,736
12866, jiangxi special electric motor co ltd,CHN,410
12878, jindalee resources limited,AUS,134
12895, jinko power technology co ltd,CHN,30
12897, jinkosolar holding company limited,ARG,20
12904, john hancock investors closed fund,AUS,17
12944, johnson controls international plc,USA,573
12952, johnson matthey plc,CAN,392
12997, joshua gold resources inc,USA,26
13002, jourdan resources inc,CAN,333
13014, jp morgan global growth & income plc,AUS,561
13075, jpmorgan chase & co,USA,168
13090, jubilee platinum,CAN,60
13101, juneyao airlines,CHN,41
13115, jupiter gold corporation,BRA,154
13121, jupiter mines limited,AUS,16
13140, jushi holdings inc,CAN,106
13157, jvc kenwood corp adr,AUS,54
13173, kainantu resources ltd.,CAN,24
13185, kainos group plc,MEX,190
13190, kairos minerals limited,AUS,1947
13228, kalamazoo resources limited,AUS,330
13233, kalium lakes ltd o.n.,AUS,44
13248, kandi technologies group inc,USA,128
13252, kaneka corp,TWN,20
13271, karora resources inc,AUS,109
13278, kavango resources plc,CHN,47
13302, kawasaki heavy industries ltd,IND,16
13308, kenmare resources plc,PRT,10
13312, kenorland minerals ltd,CAN,306
13342, keras resources plc,USA,52
13346, kesko oyj,IND,19
13353, keycorp,AUS,12
13378, kiaro holdings corp,USA,18
13390, king river resources ltd,AUS,19
13393, kingfisher mining\xa0ltd,AUS,23
13412, kingston resources ltd.,AUS,41
13416, kingwest resources ltd,AUS,71
13425, kinross gold corp,CAN,151
13440, klondike gold corp,CAN,82
13453, koc holdings as,AUS,28
13466, kodal minerals plc,AUS,1604
13537, kontrol technologies corp,USA,89
13539, kootenay silver inc,CAN,14
13559, kore potash plc,USA,52
13564, korea electric power corp adr,KOR,120
13567, korea environment technology co. ltd.,KOR,120
13573, kosmos energy ltd,GHA,216
13580, kroger company,USA,356
13591, kronos worldwide inc,ARG,16
13598, kula gold,AUS,1741
13636, kureha,CHN,35
13645, kweichow moutai co ltd,CHN,34
13647, kyocera corporation,JPN,29
13653, landore resources limited,GBR,114
13664, lanthanein resources ltd.,AUS,16
13679, lanxess ag,USA,161
13684, lara exploration ltd,IRL,125
13689, laramide resources ltd.,CAN,24
13706, largo resources ltd,USA,46
13710, larvotto resources ltd.,CAN,70
13718, latin resources limited,AUS,4536
13780, lazard ltd,AUS,10
13785, lefroy exploration ltd,AUS,276
13791, legacy minerals holdings ltd,AUS,44
13799, legend mining ltd,AUS,86
13822, lekoil limited,MLI,34
13852, lenovo group,USA,49
13859, leo lithium limited,AUS,295
13887, lepidico ltd,AUS,1787
13936, leviathan gold ltd,AUS,35
13949, lexagene holdings inc,USA,71
13958, lexinfintech holdings ltd,USA,35
14008, lg chemicals,USA,524
14016, lg electronics inc,CHN,107
14041, lg energy solution ltd,AUS,1075
14106, lgbtq loyalty holdings inc,AUS,96
14122, li auto\xa0inc,CHN,58
14134, libero copper & gold corporation,CHN,44
14156, liberty gold corp,USA,369
14157, lifeist wellness inc,CAN,31
14164, lightning minerals ltd,AUS,237
14171, lincoln minerals limited,AUS,250
14182, linde plc,AUS,28
14200, lindian resources,ARG,12
14205, lingo media corporation,CAN,24
14215, linius technologies limited,AUS,45
14234, lion one metals limited,AUS,308
14274, lions gate entertainment corp,USA,173
14278, liontown resources limited,AUS,962
14309, liquidmetal technologies inc,USA,52
14310, lithia motors inc,ARG,14
14393, lithium americas corp,USA,8533
14400, lithium australia nl,AUS,110
14422, lithium chile inc,CHL,2895
14464, lithium energi exploration inc,AUS,1619
14506, lithium energy ltd,AUS,515
14537, lithium ionic corp,BRA,411
14588, lithium one metals inc.,USA,341
14591, lithium plus minerals ltd,AUS,328
14614, lithium power international limited,AUS,3404
14689, lithium south development corporation,USA,882
14694, lithium tech cp new,CHN,49
14700, lithiumbank resources corp.,CAN,265
14725, livent corp,AUS,3228
14779, loblaw companies limited,CAN,18
14797, lockheed martin corporation,MNG,68
14814, lodestar minerals limited,AUS,1760
14858, lomiko metals inc,CAN,144
14864, loncor gold inc,CAN,21
14916, london stock exchange group plc,MEX,1964
14947, longfor group holdings limited,AUS,36
14966, loop industries inc,CAN,12
14975, lordstown motors corp,USA,145
14979, los andes copper ltd,CAN,50
14995, lotus bio-technology development corp,CHN,41
15008, lotus resources limited,AUS,107
15014, loyal lithium ltd.,AUS,611
15043, lqwd fintech corp,CAN,35
15070, lucid group inc,SRB,27
15079, lucky minerals inc,USA,40
15089, lumina gold corp,USA,24
15098, lundin mining corporation,CAN,307
15126, lynas rare earths ltd,AUS,213
15147, m grass ecology and environment group co ltd,AUS,78
15162, macarthur minerals limited,AUS,2512
15186, macquarie bank\xa0ltd pref,AUS,420
15206, macquarie group limited,CZE,214
15238, magna international inc,CHN,232
15265, magna mining inc,USA,67
15270, magnis energy technologies limited,AUS,1817
15314, mahindra & mahindra limited,IND,66
15319, maintel holdings plc,MEX,380
15320, majestic gold corp,AUS,68
15327, major drilling group international inc,USA,11
15329, major precious metals corp,AUS,17
15347, majuba hill copper corp,USA,96
15349, malin corporation plc,AUS,19
15354, malvern international,GBR,30
15362, man group plc,USA,25
15368, mandalay resources corp,CAN,55
15387, mandrake resources ltd,AUS,141
15392, manganese x energy corp,CAN,207
15411, manhattan bridge capital inc,CAN,18
15416, manning ventures inc,CAN,455
15424, mannkind corp,USA,32
15435, manx financial group plc,USA,103
15437, maple gold mines ltd,ARG,17
15446, marathon oil corporation,USA,280
15460, marble financial inc,USA,86
15464, marifil mines limited,ARG,341
15471, maritime launch services inc.,CAN,16
15475, market herald ltd,CAN,292
15488, marketing worldwide,USA,24
15489, marmota energy ltd,AUS,13
15496, marquee resources ltd,AUS,1660
15533, marriott international inc,USA,32
15536, martin marietta materials inc,AUS,264
15554, marubeni corporation,AUS,16
15557, marula mining ls-0001,ZAF,24
15561, maruti suzuki india ltd.,IND,27
15568, marvel discovery corp,CAN,386
15584, marvel gold limited,USA,30
15588, mason graphite inc.,CAN,146
15612, mastercard inc,CAN,14
15648, materialise nv,CHN,20
15665, materials petroleum jsc,USA,62
15668, materion corporation,USA,146
15677, mawson infrastructure group inc,USA,96
15692, maxell holdings ltd,JPN,75
15706, maximus resources limited,AUS,19
15710, maxtech ventures inc,BRA,30
15714, mayfield group holdings ltd,AUS,44
15722, mayur resources ltd,CAN,17
15754, mazda motor corporation,USA,176
15760, mcdonalds cdr(reg.s),IND,23
15764, mcdonald’s corporation,MLI,56
15780, mcewen mining inc,USA,156
15782, mcig inc,AUS,20
15806, mcrae inds cl a,MNG,68
15814, mdu resources group inc,USA,14
15816, medallion resources ltd,CAN,19
15823, medaro mining corp,CAN,294
15832, media central corporation inc,CAN,219
15842, medicine man technologies inc,CAN,18
15854, mednow inc,USA,30
15855, medtronic plc,CAN,87
15888, medx health corp,USA,113
15889, meeka metals ltd.,AUS,85
15894, mega uranium ltd.,ARG,22
15899, megaport ltd,AUS,18
15903, megumagold corp,CAN,19
15918, melkior resources inc,CAN,262
15928, mercator minerals ltd,CAN,46
15932, mercedes benz group ag,AUS,134
15998, mercedes-benz group ag,USA,424
16008, merck kgaa adr,GBR,54
16014, meridian energy limited,AUS,17
16052, merrill lynch depositor inc ic,USA,185
16065, metal energy corp,USA,56
16066, metal hawk ltd,AUS,77
16074, metal tiger plc,GBR,21
16089, metalicity limited,AUS,132
16099, metallurgical corporation of china ltd adr,RUS,64
16110, metalquest mining inc.,USA,16
16113, metals australia ltd,AUS,58
16127, metals creek resources corp,AUS,4724
16213, metalstech limited,CAN,50
16216, methanex corporation,ARG,44
16234, mgx minerals inc,USA,305
16236, mianyang fulin precision machining co ltd,AUS,93
16313, microsoft corporation,USA,947
16334, microvast holdings inc,USA,74
16338, midas minerals ltd,CAN,194
16356, midea group co ltd,CHN,113
16365, milestone pharmaceuticals inc,USA,356
16370, milestone scientific,CAN,64
16392, minda corporation limited,CAN,21
16402, mindset pharma inc,CAN,57
16416, mineral resources limited,AUS,2614
16529, minerals technologies inc,USA,3215
16541, minesto ab (publ),AUS,1521
16584, mining global inc,CHN,547
16627, minmetals land ltd hd-10,CHN,58
16629, minnova corp,AUS,108
16656, minrex resources ltd,AUS,1653
16703, minto metals corp.,CAN,55
16717, miramar resources\xa0ltd,USA,23
16719, mirasol resources ltd,CAN,39
16727, mithril resources ltd,AUS,18
16740, mitsubishi chemical holdings corporation,USA,360
16770, mitsubishi electric corporation,USA,35
16783, mitsubishi heavy industries ltd.,JPN,112
16788, mitsubishi ufj financial group inc,AUS,570
16833, mitsui chemicals inc adr,CHN,16
16839, mitsui e&s holdings co. ltd,AUS,710
16880, mj hudson group plc,AUS,16
16901, mkango resources ltd,GBR,58
16925, mn holdings berhad,CHN,80
16937, mobilum technologies inc,CAN,18
16950, mondelez international inc,CAN,37
16951, montezuma mining,AUS,21
16957, monumental minerals corp,CHL,108
16967, moodys corporation,AUS,328
16997, morella corporation ltd.,AUS,2213
17043, morgan advanced materials plc,USA,209
17045, morgan stanley,AUS,570
17079, morningstar inc,AUS,126
17109, morris state bancshares inc,USA,486
17111, mosaic immunoengineering inc,AUS,32
17130, motor oil (hellas) corinth refineries s.a,USA,251
17137, motorola solutions inc,MYS,37
17183, motorsport gaming us llc,USA,2117
17188, mountain boy minerals ltd,CAN,82
17202, mountain province diamonds inc,CAN,18
17206, mountain valley md holdings inc,USA,11
17210, mpower group ltd,AUS,15
17223, murata manufacturing co. ltd,CHN,92
17251, murchison minerals ltd,USA,124
17255, murphy oil corporation,USA,15
17258, musgrave minerals limited,AUS,35
17268, musk metals corp,CAN,852
17277, mydecine innovations group inc,CAN,46
17295, myer holdings limited,USA,17
17297, nacco industries inc,CHN,18
17309, nano one materials corp,AUS,105
17327, nanoxplore inc,MDG,40
17432, nasdaq inc,USA,7302
17443, national aluminium co.ltd.,IND,384
17448, national australia bank ltd adr,AUS,263
17463, national bank of canada,ARG,27
17476, national bankshares inc,CAN,41
17480, national development bank plc,AUS,121
17508, national energy services reunited corp,BEL,25
17543, national grid plc adr,USA,116
17610, national instruments corporation,USA,6011
17632, navigator global investments limited,FIN,19
17642, ncondezi energy ltd,CAN,11
17661, neogen chemicals limited,CHN,15
17667, neometals ltd adr,AUS,1938
17712, neste oyj,CAN,10
17730, netflix inc,USA,419
17736, nevada copper corp,USA,14
17738, nevada exploration inc,BRA,70
17771, nevada lithium resources inc,USA,1320
17776, nevada silver corporation,CAN,62
17815, nevada sunrise gold corporation,USA,4506
17819, nevada sunrise metals,USA,63
17834, nevada zinc corporation,USA,127
17884, new york times company,USA,844
17889, neway valve suzhou co ltd,CHN,34
17890, newcrest mining ltd,AUS,24
17899, newmark security plc,CZE,31
17911, newmont goldcorp corp,CAN,122
17947, newmont mining - dusseldorf stock exchang,USA,280
17950, newpath resources inc.,CAN,172
17954, newrange gold corp,CAN,69
17968, news corp b,CHN,39
18026, news network corporation public company limited,USA,1268
18052, nexgen energy ltd.,USA,516
18063, nextech ar solutions corp,CAN,108
18086, nextera energy inc,USA,51
18104, nextleaf solutions ltd,USA,48
18108, nexus gold corp.,CAN,43
18114, nexus minerals,AUS,26
18143, nickel 28 capital corp,USA,1086
18145, nickel industries ltd.,AUS,107
18158, nickel mines limited,AUS,108
18169, nickel rock resources inc,USA,452
18173, nighthawk gold corp,CAN,11
18179, nikola\xa0corp,CAN,90
18194, ningbo shanshan gdr/a,CHN,204
18208, niobay metals inc,ARG,50
18234, niocorp developments ltd.,USA,131
18239, nippon carbon co. ltd,USA,33
18245, nippon paper industries co. ltd,FIN,49
18260, nissan chemical industries ltd adr,AUS,405
18332, nissan motor co. ltd.,USA,310
18337, noah holdings ltd,CHN,14
18348, nokian renkaat oyj,USA,20
18382, noram lithium corp,USA,921
18386, noranda aluminum holding corp,CAN,246
18402, norfolk southern corporation,USA,76
18404, noritake co. limited,JPN,44
18406, norsk hydro asa adr,CAN,10
18415, nortec minerals corp.,FIN,174
18427, northern bear plc,MLI,31
18431, northern dynasty minerals ltd,MEX,17
18438, northern graphite corporation,CAN,91
18452, northern minerals & exploration ltd,AUS,417
18466, northern star resources ltd,AUS,17
18469, northern superior resources inc,CAN,10
18490, northrop grumman corporation,USA,740
18493, northstar gold corp,CAN,42
18500, norwest energy nl,CHN,21
18511, norwest minerals limited,AUS,1664
18549, nova lithium corp.,USA,27
18555, nova minerals limited,AUS,1980
18605, nova royalty corp,CAN,86
18621, novagold resources inc,ARG,25
18627, novo nordisk a/s,CAN,18
18631, novo resources corp,AUS,97
18640, novonix ltd,AUS,40
18643, noxopharm limited,AUS,13
18656, numinus wellness inc,CAN,119
18671, nuran wireless inc,CAN,16
18678, nutrien ltd,CHL,328
18695, nv gold corporation,USA,106
18707, nvidia corporation,SWE,144
18710, obayashi,JPN,39
18715, ocado group plc,GBR,21
18722, oceana lithium ltd,BRA,30
18734, odessa minerals ltd,AUS,107
18738, odin metals ltd,AUS,44
18746, office depot,USA,32
18750, okapi resources limited,AUS,101
18760, old dominion freight line inc,AUS,22
18761, olink holding ab  adr,CAN,18
18765, olympia financial group inc,CAN,16
18768, om holdings international inc,AUS,162
18780, oncimmune holdings plc,GBR,16
18786, ontex group nv,USA,356
18790, ophir gold corp,USA,106
18795, oppenheimer holdings inc,USA,21
18801, optimi health corp,CAN,66
18803, ora banda mining ltd,AUS,63
18834, oracle corporation japan,USA,22
18848, orcadian energy plc,GBR,27
18861, orecorp ltd,CHN,91
18875, orex minerals inc,CAN,13
18880, organto foods inc,CAN,17
18895, orient paper & industries ltd.,FIN,19
18903, origin energy limited,AUS,20
18914, original bark co,USA,51
18919, oriole resources plc,CHN,26
18928, orocobre ltd.,ARG,1124
18960, orogen royalties inc,MEX,40
18966, orosur mining inc,CHN,102
19006, orthocell ltd,AUS,23
19018, osirium technologies plc,GBR,25
19022, osisko development corp.,AUS,32
19027, osisko gold royalties ltd.,CAN,47
19031, osisko mining inc,CAN,51
19051, ourgame int.hol.dl-00005,USA,213
19054, outokumpu oyj,FIN,20
19063, oz minerals limited,AUS,324
19097, paccar inc,USA,14
19102, pacific empire minerals corp,CAN,54
19111, pacific energy & mining company,AUS,34
19114, pacific imperial mines inc,USA,20
19123, pacific securities co ltd,AUS,102
19136, pacton gold inc,CAN,16
19139, paladin energy ltd,AUS,93
19163, palamina corp,BOL,18
19170, palfinger ag,DEU,28
19179, palladium one mining inc,USA,210
19183, paltalk inc,GBR,14
19188, pan african resources plc,CAN,60
19215, pan american silver corp,CAN,26
19220, pan asia metals ltd,AUS,70
19301, panasonic corp,USA,4998
19309, panasonic energy india co. ltd.,AUS,100
19326, pangenomic health,GBR,16
19339, panther metals plc,AUS,13
19371, pantoro limited,AUS,62
19376, paradigm biopharmaceuticals limited,AUS,10
19380, parcelpal technology inc,CAN,17
19401, parenteral drugs (india) ltd.-$,MEX,231
19409, paslin digital technology co ltd,USA,356
19419, patagonia gold corp,CAN,85
19432, pathfinder minerals plc,MEX,388
19438, patriot battery metals inc,CAN,961
19461, patriot lithium ltd.,CAN,69
19483, peabody energy corp,RUS,43
19495, pearson plc adr,CAN,77
19506, peel hunt ltd,GBR,52
19510, pegasus resources inc,CAN,28
19512, pelangio exploration inc,CAN,14
19520, pembina pipeline corp,USA,40
19521, pendal group ltd,AUS,160
19528, peninsula energy limited,CAN,24
19539, peninsula energy ltd,CAN,48
19553, pepinnini minerals limited,AUS,636
19576, pernod ricard sa,GBR,21
19582, perrigo company plc,USA,358
19588, perseus mining limited,GHA,218
19605, petra diamonds limited,MEX,179
19615, petratherm ltd,AUS,69
19643, petrobras distribuidora s.a,USA,15
19658, petroleum geo,USA,378
19673, peugeot invest société anonyme,USA,92
19692, pfizer inc,USA,409
19698, pharmadrug inc,CAN,61
19715, phinergy ltd,IND,56
19723, phoenix copper limited,CHN,116
19752, phunware inc,CAN,78
19778, phyto extractions inc,CAN,19
19785, piedmont community bank group inc,AUS,300
19794, piedmont lithium ltd adr,AUS,4767
19863, pilbara minerals limited,AUS,16160
19959, pilot gold inc,USA,4439
19965, pininfarina s.p.a,CHN,23
19979, pioneer diversified high it,AUS,94
19993, pivotal metals ltd.,AUS,69
20002, planet ventures inc,CAN,16
20005, platinex inc,AUS,17
20017, platinum group metals ltd,CAN,469
20034, platypus minerals ltd,CAN,145
20054, plurilock security inc,CAN,143
20083, pm&e inc,AFG,38
20091, pointsbet holdings limited,AUS,10
20098, polarx limited,AUS,30
20107, polymet mining corp,USA,17
20111, polymetal international plc adr,KAZ,37
20120, pontiac bancorp inc,CAN,507
20135, poolbeg pharma plc,GBR,25
20152, porsche automobil holding se,MEX,96
20163, portofino resources inc,AUS,1279
20203, posco holdings inc,AUS,3276
20276, posco international corp,MNG,68
20283, poseidon nickel limited,AUS,314
20299, postmedia network canada corp,CAN,460
20337, potash america inc,CHL,585
20359, power construction corp of china ltd,CHN,46
20383, power metal resources plc,CHN,123
20432, power metals corp,CAN,1679
20467, power minerals ltd,AUS,1151
20505, power nickel inc,CAN,204
20545, power solutions international inc,USA,191
20551, powerhouse energy group plc,GBR,18
20584, powertap hydrogen capital corp,USA,163
20603, predictive oncology inc,USA,13
20605, predictmedix inc,AUS,29
20624, prescient therapeutics ltd,AUS,63
20638, probiotix health ls-05,GBR,25
20644, progressive planet solutions inc,CAN,62
20659, prospect resources ltd,AUS,1836
20707, prospector metals corp.,CAN,104
20727, protean energy ltd.,AUS,23
20728, prothena corporation plc,CAN,10
20733, provaris energy ltd.,AUS,63
20746, prudential financial inc preferred,MEX,388
20763, psybio therapeutics corp,USA,76
20839, pure energy minerals limited,USA,11629
20844, pure gold mining inc,CAN,72
20859, pursuit minerals ltd,AUS,280
20878, pwrcor inc,CAN,17
20901, pyrogenesis canada inc.,USA,163
20904, qantas airways ltd adr,AUS,94
20925, qc holdings inc,CAN,29
20927, qcx gold corp,AUS,11
20935, qinghai salt lake industry co.ltd,CHN,411
20943, qmc quantum minerals corp,CAN,10
20962, qualcomm incorporated,USA,134
20964, quantum battery metals corp,CAN,26
20982, quantumscape corp,USA,95
20983, quartz mountain resources ltd,ARG,52
20988, qube holdings limited,AUS,68
20990, quebec precious metals corporation,CAN,378
20994, queensland pacific metals ltd,AUS,20
21001, quest diagnostics incorporated,USA,32
21005, quotient technology inc,USA,356
21010, qx resources ltd,AUS,1885
21050, radiopharm theranostics ltd,AUS,23
21074, radius gold inc,USA,776
21079, ragnar metals ltd,AUS,1770
21119, ragusa minerals ltd,AUS,1685
21158, raiffeisen bank international ag,AUT,18
21165, rajesh exports ltd.,IND,45
21167, ramelius resources limited,AUS,21
21169, raymond james financial inc.,CAN,43
21175, raytheon technologies corp,USA,12
21178, reach resources ltd,AUS,107
21183, ready set gold corp,CAN,19
21190, real luck group ltd,CAN,62
21196, recce pharmaceuticals ltd,AUS,23
21204, recharge resources ltd.,ARG,366
21222, red dirt metals ltd,AUS,1601
21261, red eagle mining corporation,USA,83
21265, red pine exploration inc,CAN,36
21278, red river resources limited,CHL,31
21283, red rock resources,AUS,35
21314, redde northgate plc,CZE,21
21327, redstone resources,ARG,22
21338, reedy lagoon,AUS,1980
21376, refined metals corp.,CAN,95
21390, regency silver corp.,USA,49
21399, regent ventures ltd,USA,129
21402, regis resources ltd,AUS,17
21408, reliance industries ltd adr,IND,31
21410, renascor resources ltd,AUS,175
21435, renault sa,AUS,151
21456, reneuron group plc,MEX,190
21486, renewable energy trade board corp,USA,317
21492, renforth resources inc,CAN,76
21498, republic services inc,USA,32
21529, research frontiers incorporated,USA,248
21549, research solutions inc,USA,25
21553, resolute mining limited,CHN,55
21579, resource capital gold corp,AUS,176
21606, resource development group,MEX,193
21608, resource mining corporation,FIN,22
21659, resources connection inc,USA,2714
21669, respirerx pharmaceuticals inc,USA,30
21670, revival gold inc,CAN,19
21676, revolver resources holdings ltd,CAN,21
21682, rexel sa adr,CHN,11
21687, rexford industrial realty inc,USA,32
21689, rhinomed limited,AUS,44
21696, richmond minerals inc,AUT,85
21700, ridgeline minerals corp,CAN,23
21706, riedel resources ltd,AUS,44
21713, rincon resources ltd,ARG,77
21726, rio tinto adr,AUS,3481
21814, rio tinto group,AUS,561
21854, riversgold ltd,AUS,116
21863, riverstone holdings limited,AUS,58
21881, rivian automotive inc,USA,40
21886, robert walters,MEX,388
21888, rochester community baseball inc,CAN,26
21895, rock tech lithium inc,CAN,464
21910, rockcliff metals corporation,CAN,23
21923, rockfire resources plc,GBR,137
21955, rockwell automation inc,AUS,11
21965, rogers communications inc,CAN,16
21987, romios gold resources inc,MEX,70
21999, ross stores inc,USA,388
22001, rothschild & co sca,AUS,35
22017, rover metals corp,USA,156
22027, royal bank of canada,USA,158
22032, royal helium ltd,CAN,89
22060, royal wins corporation,CAN,32
22081, royalty pharma\xa0plc,SWE,48
22083, rt minerals corp,CAN,22
22085, sable resources ltd,CAN,23
22089, safilo group s.p.a,RWA,19
22097, sahara energy ltd,CAN,14
22100, saint jean carbon inc,CAN,120
22105, salt lake potash limited,AUS,16
22184, samsung electronics co. ltd,USA,929
22190, samsung heavy industries,KOR,24
22196, san leon energy plc,MLI,17
22200, sanatana resources inc,CAN,26
22207, sandfire resources limited,AUS,23
22217, santos ltd adr,AUS,25
22229, sanyo chemical industries ltd,CHN,130
22269, sappi ltd adr,FIN,30
22281, sapporo holdings limited,AUS,24
22289, saputo inc,USA,356
22292, sassy gold corp.,CAN,21
22300, sassy resources corporation,CAN,21
22319, saudi arabian mining company,ZMB,40
22321, saudi aramco,AUS,77
22340, savannah resources plc,AUS,182
22385, sayona mining limited,AUS,2856
22435, scandium international mining corp,AUS,17
22472, schlumberger nv,USA,1193
22501, schneider electric se,USA,21
22504, schroders plc,AUS,23
22527, science to consumers inc,USA,77
22530, scirocco energy plc,GBR,19
22536, scorpio gold corp,CAN,40
22546, scorpion minerals ltd,AUS,1741
22585, scotch creek ventures inc,USA,415
22605, scotiabank peru s.a.a.,AUS,86
22623, scottie resources corp,USA,96
22626, seabridge gold inc.,CHN,12
22637, searchlight minerals corp,USA,10
22639, sears holdings,USA,32
22663, securities trust of scotland plc,USA,173
22680, seelos therapeutics inc,USA,71
22682, sembcorp industries ltd,GBR,40
22686, sempra energy,USA,32
22694, sensyne health plc,AUS,10
22704, serinus energy,GBR,17
22718, shanghai electric group company limited,CHN,33
22725, shanghai lingang holdings co ltd a,CHN,27
22726, shanghai putailai new energy technology co ltd class a,CHN,27
22730, shanghai zhenhua heavy industries co ltd a,CHN,18
22779, shanta gold limited,MEX,184
22803, sharda motor industries limited,IND,15
22804, shattuck labs\xa0inc,USA,16
22846, shell plc,USA,251
22853, shenzhen chengxin lithium group co ltd,AUS,136
22864, shenzhen dynanonic co ltd,AUS,77
22875, shenzhen senior technology material co ltd,CHN,70
22897, sherritt international corporation,USA,140
22903, shree minerals ltd,AUS,1347
22947, sibanye stillwater limited,USA,59
22957, sichuan tianqi lithium industries inc,CHN,720
22990, sichuan western resources holding co ltd,CHN,398
23000, sichuan yahua industrial group co ltd,CHN,265
23025, siemens energy ag,CHN,46
23081, siemens gamesa renewable energy s.a,USA,173
23091, sienna resources inc,USA,409
23093, sierra bancorp,USA,32
23105, sigma lithium resources corp,BRA,1890
23157, sihayo gold,AUS,44
23167, silver elephant mining corp,AUS,15
23170, silver lake resources ltd,AUS,17
23174, silver mines limited,AUS,19
23178, silver mountain resources inc.,CAN,14
23186, silver scott mines inc,ARG,10
23195, silver valley metals corp,MEX,72
23202, silvercorp metals inc,GBR,12
23209, silvercrest metals inc,CAN,14
23223, silverton metals corp,USA,103
23241, singapore airlines ltd,AUS,15
23256, singapore exchange limited,AUS,194
