,Country,Organizations,Value
75,AFG,new york times company,213
55,AFG,barrick gold corp,152
56,AFG,chinese estates holdings limited,148
70,AFG,metallurgical corporation of china ltd adr,125
65,AFG,groupe gorgé sa,102
57,AFG,cnnc international limited,82
63,AFG,gase energy inc,75
39,AFG, pm&e inc,38
50,AFG, ubs ag london branch,32
13,AFG, gase energy inc,31
83,AFG,ubs ag london branch,31
85,AFG,walmart inc,24
7,AFG, central bank corporation,22
62,AFG,ganfeng lithium co ltd,20
27,AFG, metallurgical corporation of china ltd adr,16
48,AFG, tianqi lithium h yc 1,16
72,AFG,morgan stanley,16
9,AFG, cowen group inc,15
67,AFG,lithium americas corp,11
157,AGO, vulcan energy resources limited,14
142,AGO, rio tinto adr,12
88,AGO, aeon metals ltd.,10
89,AGO, alchemy resources limited,10
90,AGO, anson resources limited,10
91,AGO, arcadia minerals cdi/1:1,10
92,AGO, ardiden limited,10
93,AGO, arizona lithium limited,10
94,AGO, aruma resources ltd,10
95,AGO, auroch minerals limited,10
97,AGO, bryah resources limited,10
98,AGO, bulletin resources limited,10
101,AGO, dreadnought resources ltd,10
102,AGO, european lithium limited,10
103,AGO, ev resources ltd.,10
104,AGO, firefinch limited,10
106,AGO, galan lithium limited,10
108,AGO, golden mile resources ltd,10
109,AGO, halliburton company,10
112,AGO, impact minerals ltd,10
113,AGO, ioneer ltd,10
114,AGO, kairos minerals limited,10
115,AGO, kula gold,10
116,AGO, latin resources limited,10
117,AGO, lepidico ltd,10
119,AGO, lodestar minerals limited,10
121,AGO, magnis energy technologies limited,10
122,AGO, marquee resources ltd,10
123,AGO, metals creek resources corp,10
124,AGO, minerals technologies inc,10
125,AGO, minesto ab (publ),10
126,AGO, minrex resources ltd,10
128,AGO, morella corporation ltd.,10
129,AGO, neometals ltd adr,10
130,AGO, norwest minerals limited,10
131,AGO, nova minerals limited,10
133,AGO, piedmont lithium ltd adr,10
134,AGO, pilbara minerals limited,10
136,AGO, prospect resources ltd,10
137,AGO, qx resources ltd,10
138,AGO, ragnar metals ltd,10
139,AGO, ragusa minerals ltd,10
140,AGO, red dirt metals ltd,10
141,AGO, reedy lagoon,10
144,AGO, sayona mining limited,10
145,AGO, scorpion minerals ltd,10
147,AGO, shree minerals ltd,10
148,AGO, sipa resources ltd,10
149,AGO, sunstone metals ltd,10
150,AGO, tempest minerals ltd.,10
151,AGO, thor mining plc,10
153,AGO, triton minerals limited,10
154,AGO, tyranna resources limited,10
155,AGO, venus metals corporation ltd,10
158,AGO, wealth minerals ltd,10
159,AGO, white cliff minerals ltd,10
160,AGO, wiluna mining corporation limited,10
161,AGO, woomera mining ltd,10
162,AGO, xantippe resources ltd,10
163,AGO, zenith minerals limited,10
164,AGO,argosy minerals limited,10
171,AGO,schlumberger nv,10
202,ALB, european electric metals inc,84
238,ALB, metals creek resources corp,71
258,ALB, pilbara minerals limited,58
247,ALB, national instruments corporation,56
287,ALB, trilogy metals inc,56
289,ALB, tyranna resources limited,51
220,ALB, kairos minerals limited,45
234,ALB, magnis energy technologies limited,45
253,ALB, nova minerals limited,44
173,ALB, aeon metals ltd.,43
174,ALB, alchemy resources limited,43
178,ALB, anson resources limited,43
179,ALB, arcadia minerals cdi/1:1,43
180,ALB, ardiden limited,43
182,ALB, arizona lithium limited,43
184,ALB, aruma resources ltd,43
193,ALB, bryah resources limited,43
194,ALB, bulletin resources limited,43
201,ALB, dreadnought resources ltd,43
203,ALB, european lithium limited,43
204,ALB, ev resources ltd.,43
208,ALB, galan lithium limited,43
211,ALB, golden mile resources ltd,43
217,ALB, impact minerals ltd,43
219,ALB, ioneer ltd,43
223,ALB, kula gold,43
224,ALB, latin resources limited,43
226,ALB, lepidico ltd,43
232,ALB, lodestar minerals limited,43
236,ALB, marquee resources ltd,43
240,ALB, minerals technologies inc,43
241,ALB, minesto ab (publ),43
243,ALB, minrex resources ltd,43
252,ALB, norwest minerals limited,43
257,ALB, piedmont lithium ltd adr,43
261,ALB, prospect resources ltd,43
263,ALB, qx resources ltd,43
264,ALB, ragnar metals ltd,43
265,ALB, ragusa minerals ltd,43
266,ALB, red dirt metals ltd,43
267,ALB, reedy lagoon,43
269,ALB, rio tinto adr,43
271,ALB, sayona mining limited,43
272,ALB, scorpion minerals ltd,43
275,ALB, sipa resources ltd,43
280,ALB, sunstone metals ltd,43
281,ALB, tempest minerals ltd.,43
288,ALB, triton minerals limited,43
291,ALB, venus metals corporation ltd,43
292,ALB, vulcan energy resources limited,43
293,ALB, white cliff minerals ltd,43
294,ALB, wiluna mining corporation limited,43
295,ALB, woomera mining ltd,43
296,ALB, xantippe resources ltd,43
298,ALB, zenith minerals limited,43
244,ALB, morella corporation ltd.,42
249,ALB, neometals ltd adr,42
185,ALB, auroch minerals limited,41
300,ALB,argosy minerals limited,41
286,ALB, trek metals ltd,38
283,ALB, thor mining plc,37
260,ALB, power minerals ltd,36
200,ALB, cygnus gold ltd,34
273,ALB, shree minerals ltd,31
191,ALB, blackstone minerals ltd,29
242,ALB, mining global inc,28
304,ALB,national instruments corporation,28
307,ALB,polymet mining corp,28
310,ALB,royalty pharma\xa0plc,28
196,ALB, cassius mining ltd,18
233,ALB, loyal lithium ltd.,18
278,ALB, st george mining ltd,12
407,ARE, pure energy minerals limited,27
337,ARE, cypress development corp,26
430,ARE, united parcel service inc,24
454,ARE,japan airlines ltd adr,22
460,ARE,national instruments corporation,22
405,ARE, powertap hydrogen capital corp,20
328,ARE, business development corp of america,18
359,ARE, green hydrogen syst. dk 1,18
470,ARE,siemens energy ag,18
459,ARE,national bank of canada,17
390,ARE, motorola solutions inc,15
392,ARE, nasdaq inc,15
312,ARE, airbus group se,11
360,ARE, groupe gorgé sa,11
357,ARE, goldman sachs group inc,10
362,ARE, harbor custom development inc,10
399,ARE, pfizer inc,10
406,ARE, psybio therapeutics corp,10
421,ARE, srax inc,10
436,ARE, zijin mining group co ltd-h,10
1644,ARG,national instruments corporation,9454
1591,ARG,lithium americas corp,4771
946,ARG, lithium americas corp,4479
486,ARG, albemarle corp,3257
1143,ARG, pure energy minerals limited,2101
1005,ARG, metals creek resources corp,2077
1127,ARG, posco holdings inc,2069
882,ARG, international lithium corp,1970
1099,ARG, panasonic corp,1884
1711,ARG,rio tinto adr,1775
1344,ARG, wealth minerals ltd,1648
676,ARG, cypress development corp,1450
518,ARG, antofagasta plc,1388
785,ARG, ganfeng lithium co ltd,1360
1116,ARG, pilbara minerals limited,1293
1767,ARG,toyota motor corporation adr,1290
1171,ARG, rio tinto adr,1196
506,ARG, american lithium corp. common stock,1189
717,ARG, energy of minas gerais co drc,1178
808,ARG, goldman sachs group inc,1139
1277,ARG, tesla inc,1129
1090,ARG, orocobre ltd.,1124
949,ARG, lithium energi exploration inc,1089
527,ARG, argosy minerals limited,1086
1047,ARG, national instruments corporation,1082
1391,ARG,albemarle corp,1026
1042,ARG, nasdaq inc,1025
958,ARG, livent corp,1010
1054,ARG, nevada sunrise gold corporation,1001
926,ARG, latin resources limited,971
1599,ARG,livent corp,923
1183,ARG, samsung electronics co. ltd,905
1690,ARG,posco holdings inc,893
1126,ARG, portofino resources inc,882
581,ARG, bmw industries ltd.,870
948,ARG, lithium chile inc,868
954,ARG, lithium power international limited,849
1432,ARG,bmw industries ltd.,837
733,ARG, european metals holdings limited,825
1015,ARG, minerals technologies inc,824
1335,ARG, volkswagen ag,815
1299,ARG, toyota tsusho corporation,812
686,ARG, deutsche bank ag na o.n.,736
1699,ARG,pure energy minerals limited,698
837,ARG, hannans reward ltd,684
1632,ARG,morgan stanley,673
1647,ARG,nevada sunrise gold corporation,673
897,ARG, jiangxi ganfeng lithium co ltd,641
524,ARG, arena minerals inc,607
1298,ARG, toyota motor corporation adr,603
955,ARG, lithium south development corporation,587
739,ARG, facebook inc. cl a,583
1496,ARG,energy of minas gerais co drc,533
1408,ARG,antofagasta plc,530
1343,ARG, washington post -b-,513
760,ARG, ford motor company,495
916,ARG, kodal minerals plc,487
1768,ARG,toyota tsusho corporation,471
1575,ARG,jiangxi ganfeng lithium co ltd,438
1285,ARG, tianqi lithium h yc 1,425
1651,ARG,news network corporation public company limited,421
494,ARG, alpha lithium corporation,415
1241,ARG, standard lithium ltd,414
863,ARG, iconic minerals ltd,408
1674,ARG,orocobre ltd.,405
660,ARG, core lithium ltd,400
1411,ARG,arena minerals inc,391
831,ARG, groupe gorgé sa,380
1571,ARG,international lithium corp,376
1014,ARG, mineral resources limited,375
1190,ARG, sayona mining limited,375
1154,ARG, recharge resources ltd.,366
480,ARG, aberdeen international inc,360
1168,ARG, resources connection inc,360
1115,ARG, piedmont lithium ltd adr,356
557,ARG, barrick gold corp,343
980,ARG, marifil mines limited,341
1236,ARG, spey resources corp,329
1619,ARG,metals creek resources corp,320
1689,ARG,portofino resources inc,319
796,ARG, glencore plc,317
1151,ARG, radius gold inc,312
1596,ARG,lithium power international limited,312
1442,ARG,canaccord genuity group inc,309
881,ARG, international consolidated airlines group s.a.,308
1380,ARG, zijin mining group co ltd-h,308
1059,ARG, news network corporation public company limited,301
1172,ARG, rio tinto group,294
1525,ARG,ganfeng lithium co ltd,293
602,ARG, canaccord genuity group inc,287
823,ARG, green technology metals limited,282
1543,ARG,groupe gorgé sa,278
873,ARG, industrial minerals ltd,272
1337,ARG, volvo car ab (publ.),270
1033,ARG, motorsport gaming us llc,263
1683,ARG,pilbara minerals limited,261
1795,ARG,yamana gold inc,260
1536,ARG,goldman sachs group inc,249
1129,ARG, potash america inc,245
1138,ARG, prospect resources ltd,245
1324,ARG, venture corporation limited,245
1702,ARG,recharge resources ltd.,243
732,ARG, european lithium limited,239
1339,ARG, vulcan energy resources limited,239
838,ARG, hanwa co. ltd,238
616,ARG, carnaby resources ltd,237
1597,ARG,lithium south development corporation,218
1413,ARG,argosy minerals limited,216
492,ARG, allkem limited,214
679,ARG, daimler truck holding ag,214
952,ARG, lithium one metals inc.,211
1130,ARG, power metals corp,202
1395,ARG,allkem ltd,201
1694,ARG,power minerals ltd,198
1024,ARG, mitsui e&s holdings co. ltd,194
590,ARG, bryah resources limited,193
1586,ARG,latin resources limited,193
809,ARG, goldplay mining inc,192
1069,ARG, nissan chemical industries ltd adr,192
1637,ARG,nasdaq inc,189
1592,ARG,lithium chile inc,185
667,ARG, critical elements lithium corporation,180
687,ARG, deutsche bank aktiengesellschaft,175
880,ARG, international battery metals ltd,175
781,ARG, galan lithium limited,171
493,ARG, allkem ltd,168
1017,ARG, mining global inc,167
701,ARG, dupont de nemours inc,166
1023,ARG, mitsubishi ufj financial group inc,162
1357,ARG, winsome resources limited,160
582,ARG, bradda head lithium limited,157
935,ARG, lg energy solution ltd,157
1312,ARG, ultra resources inc,157
1740,ARG,spey resources corp,157
799,ARG, global lithium resources ltd,156
991,ARG, mcewen mining inc,155
884,ARG, ion energy ltd,153
1072,ARG, noram lithium corp,149
641,ARG, citigroup inc,146
1029,ARG, morgan stanley,146
1593,ARG,lithium energi exploration inc,146
507,ARG, american lithium minerals inc,144
642,ARG, clean energy technologies inc,142
950,ARG, lithium energy ltd,142
1672,ARG,origen resources inc,141
1532,ARG,glencore plc,140
933,ARG, lg chemicals,136
1316,ARG, united lithium corp,136
1802,ARG,zijin mining group co ltd-h,136
718,ARG, energy technologies limited,135
1269,ARG, technology general corporation,134
1254,ARG, surge battery metals inc,133
1370,ARG, yahoo japan,132
1384,ARG,aberdeen international inc,132
1052,ARG, nevada lithium resources inc,131
1235,ARG, spearmint resources inc,131
1330,ARG, vision lithium inc,130
1581,ARG,jvc kenwood corp adr,126
626,ARG, centurion minerals l. new,122
1638,ARG,national aluminium co.ltd.,119
888,ARG, itau unibanco holding sa,118
632,ARG, chevron corp,116
664,ARG, credit suisse group,116
1191,ARG, schlumberger nv,112
1209,ARG, sichuan yahua industrial group co ltd,112
1570,ARG,international consolidated airlines group s.a.,111
902,ARG, johnson matthey plc,108
910,ARG, kairos minerals limited,104
1211,ARG, sigma lithium resources corp,102
1505,ARG,facebook inc. cl a,100
966,ARG, lundin mining corporation,98
929,ARG, leo lithium limited,97
574,ARG, blackrock capital allocation trust,95
1027,ARG, morella corporation ltd.,95
1128,ARG, postmedia network canada corp,95
951,ARG, lithium ionic corp,92
1719,ARG,samsung electronics co. ltd,92
1635,ARG,motorsport gaming us llc,91
953,ARG, lithium plus minerals ltd,90
681,ARG, dbs group holdings ltd,88
1479,ARG,deutsche bank ag na o.n.,88
1281,ARG, thomson reuters corp,87
1568,ARG,international battery metals ltd,86
1609,ARG,market herald ltd,86
747,ARG, firefinch limited,85
1489,ARG,edison lithium corp.,85
1678,ARG,panasonic corp,85
613,ARG, capital bancorp,84
1224,ARG, sociedad quimica y minera de chile sa adr b,84
1360,ARG, woomera mining ltd,84
1535,ARG,global lithium resources ltd,84
752,ARG, first quantum minerals ltd,83
1230,ARG, sony corp,83
1624,ARG,mining global inc,83
1399,ARG,altura mining limited,82
854,ARG, honda motor co ltd adr,81
1050,ARG, neometals ltd adr,81
1512,ARG,first quantum minerals ltd,79
771,ARG, freeport-mcmoran copper & gold inc,78
724,ARG, enphase energy inc,77
1170,ARG, rincon resources ltd,77
1665,ARG,novagold resources inc,76
820,ARG, green energy live inc,75
1326,ARG, veolia environnement s.a,75
1758,ARG,tesla inc,75
517,ARG, anson resources limited,74
595,ARG, business development corp of america,74
1225,ARG, softbank corp,74
1656,ARG,nissan chemical industries ltd adr,74
886,ARG, ioneer ltd,73
1164,ARG, research frontiers incorporated,72
983,ARG, marquee resources ltd,71
1131,ARG, power minerals ltd,70
1208,ARG, sichuan tianqi lithium industries inc,70
1398,ARG,alpha lithium corporation,70
973,ARG, magnis energy technologies limited,69
1155,ARG, red dirt metals ltd,69
1362,ARG, xantippe resources ltd,69
529,ARG, arizona lithium limited,68
538,ARG, atlantic lithium ltd,68
861,ARG, hyundai motor co drc,68
943,ARG, liontown resources limited,68
523,ARG, ardiden limited,67
803,ARG, golden arrow resources corp,67
893,ARG, jefferies financial group inc,67
1623,ARG,minerals technologies inc,67
764,ARG, fortress minerals limited,66
1077,ARG, nova minerals limited,66
1510,ARG,financial institutions inc. 8.48% srb1 pfd b,66
1646,ARG,neometals ltd adr,66
666,ARG, critical elements corporation,65
1600,ARG,london stock exchange group plc,65
1709,ARG,resources connection inc,65
482,ARG, aeon metals ltd.,64
867,ARG, impact minerals ltd,64
930,ARG, lepidico ltd,64
1150,ARG, qx resources ltd,64
1159,ARG, reedy lagoon,64
1303,ARG, triton minerals limited,64
520,ARG, arcadia minerals cdi/1:1,63
534,ARG, aruma resources ltd,63
591,ARG, bulletin resources limited,63
734,ARG, ev resources ltd.,63
805,ARG, golden mile resources ltd,63
921,ARG, kula gold,63
959,ARG, lodestar minerals limited,63
1016,ARG, minesto ab (publ),63
1019,ARG, minrex resources ltd,63
1076,ARG, norwest minerals limited,63
1152,ARG, ragnar metals ltd,63
1153,ARG, ragusa minerals ltd,63
1194,ARG, scorpion minerals ltd,63
1220,ARG, sipa resources ltd,63
1253,ARG, sunstone metals ltd,63
1274,ARG, tempest minerals ltd.,63
1325,ARG, venus metals corporation ltd,63
1353,ARG, white cliff minerals ltd,63
1378,ARG, zenith minerals limited,63
1537,ARG,goldplay mining inc,63
1205,ARG, sherritt international corporation,62
607,ARG, canadian oil recovery & remediation enterprises ltd,61
729,ARG, ethos gold corp,61
1000,ARG, mercedes-benz group ag,61
1231,ARG, southern arc minerals inc,61
1377,ARG, zenith energy ltd,61
1422,ARG,barrick gold corp,61
1502,ARG,european metals holdings limited,61
564,ARG, berkshire hathaway inc,60
1516,ARG,ford motor company,60
1226,ARG, softbank group corp.,59
1595,ARG,lithium one metals inc.,59
1782,ARG,washington post -b-,59
656,ARG, coppercorp resources inc.,58
1283,ARG, thor mining plc,57
1371,ARG, yamana gold inc,57
982,ARG, market herald ltd,56
1041,ARG, nano one materials corp,56
1297,ARG, toyota industries corp,56
624,ARG, central bank corporation,55
748,ARG, first energy metals ltd,54
797,ARG, global acquisitions corporation,54
1789,ARG,xantippe resources ltd,54
698,ARG, dreadnought resources ltd,53
801,ARG, gold fields ltd adr,53
1356,ARG, wiluna mining corporation limited,53
1778,ARG,volkswagen ag,53
488,ARG, alchemy resources limited,52
1149,ARG, quartz mountain resources ltd,52
1206,ARG, shree minerals ltd,51
1255,ARG, sustainable development acquisition i corp,51
554,ARG, bangchak corp. -fgn- ba 1,50
1067,ARG, niobay metals inc,50
1385,ARG,abrasilver resource corp,50
1759,ARG,thomson reuters corp,50
541,ARG, auroch minerals limited,49
905,ARG, jp morgan global growth & income plc,49
1641,ARG,national bank of canada,49
614,ARG, capstone mining corp,48
1523,ARG,galan lithium limited,48
1705,ARG,renewable energy trade board corp,48
1712,ARG,rio tinto group,48
619,ARG, caterpillar inc,47
915,ARG, kinross gold corp,47
1379,ARG, zhejiang huayou cobalt co ltd,47
1552,ARG,hindustan copper ltd.,47
821,ARG, green energy resources inc,46
836,ARG, haitong international securities group limited,46
1458,ARG,citigroup inc,46
689,ARG, dialight plc,45
819,ARG, great wall motor co ltd,45
961,ARG, london stock exchange group plc,45
1102,ARG, patagonia gold corp,45
1420,ARG,bank of america corp,45
1495,ARG,energy metals,45
1550,ARG,hess corporation,45
533,ARG, artemis resources ltd,44
555,ARG, bangchak corporation public company limited,44
630,ARG, chemours co,44
1007,ARG, methanex corporation,44
1221,ARG, sizzle acquisition corp,44
1735,ARG,sociedad quimica y minera de chile sa adr b,44
483,ARG, agilent technologies inc,43
680,ARG, dajin heavy industry corp,43
1202,ARG, shell plc,43
1296,ARG, toshiba corporation,43
1622,ARG,mineral resources limited,43
1046,ARG, national development bank plc,42
1057,ARG, newmont mining - dusseldorf stock exchang,42
1300,ARG, trek metals ltd,42
1310,ARG, tyranna resources limited,42
1457,ARG,citic securities company limited,42
539,ARG, atlas lithium corporation common stock,41
704,ARG, edison lithium corp.,41
1223,ARG, snow lake resources ltd,41
1430,ARG,blackrock capital allocation trust,41
1431,ARG,blue sky uranium corp,41
1747,ARG,sumitomo mitsui trust holdings inc,41
908,ARG, jvc kenwood corp adr,40
1043,ARG, national aluminium co.ltd.,40
501,ARG, ambac financial group inc,39
830,ARG, group eleven resources corp,39
904,ARG, jourdan resources inc,39
906,ARG, jpmorgan chase & co,39
971,ARG, magna international inc,39
1179,ARG, royal bank of canada,39
1438,ARG,cadence minerals plc,39
579,ARG, blue sky uranium corp,38
675,ARG, cygnus gold ltd,38
824,ARG, greenhill & co inc,38
844,ARG, hatcher group ltd,38
872,ARG, industrial and commercial bank of china,38
1266,ARG, tata motors limited adr,38
519,ARG, apple inc,37
652,ARG, comstock metals ltd,37
970,ARG, macquarie group limited,37
1412,ARG,argentina lithium & energy corp,37
1428,ARG,berkshire hathaway inc,37
889,ARG, ivanhoe mines ltd.,36
1166,ARG, resource capital gold corp,36
1565,ARG,industrial minerals ltd,36
1579,ARG,jp morgan global growth & income plc,36
1584,ARG,kronos worldwide inc,36
1743,ARG,standard lithium ltd,36
1167,ARG, resource development group,35
1704,ARG,renault sa,35
1776,ARG,veolia environnement s.a,35
499,ARG, altura mining limited,34
1402,ARG,american lithium corp. common stock,34
1669,ARG,nvidia corporation,34
811,ARG, gotion high tech co ltd,33
901,ARG, johnson controls international plc,33
1271,ARG, teck resources limited,33
783,ARG, galileo resources plc,32
822,ARG, green shift commodities,32
1574,ARG,ivanhoe mines ltd.,32
1680,ARG,pepinnini minerals limited,32
489,ARG, algernon pharmaceuticals inc,31
688,ARG, development technologies corp,31
716,ARG, energy metals,31
967,ARG, lynas rare earths ltd,31
1107,ARG, pepinnini minerals limited,31
495,ARG, alphabet inc class c,30
525,ARG, argentina lithium & energy corp,30
1103,ARG, patriot battery metals inc,30
1137,ARG, progressive planet solutions inc,30
1162,ARG, renault sa,30
1388,ARG,agilent technologies inc,30
1528,ARG,gemxx corp,30
1777,ARG,veritas pharma inc,30
1132,ARG, power nickel inc,29
1228,ARG, solvbl solutions inc,29
1240,ARG, standard chartered bank pakistan ltd,29
1322,ARG, valens,29
1503,ARG,express inc,29
1545,ARG,guangzhou tinci materials technology co ltd,29
1594,ARG,lithium energy ltd,29
773,ARG, frontier lithium inc,28
1025,ARG, monumental minerals corp,28
1034,ARG, mountain boy minerals ltd,28
1070,ARG, nissan motor co. ltd.,28
1620,ARG,mgx minerals inc,28
1726,ARG,schlumberger nv,28
536,ARG, astra exploration inc.,27
987,ARG, mason graphite inc.,27
999,ARG, mercedes benz group ag,27
1045,ARG, national bank of canada,27
1252,ARG, sunedison infrastructure ltd,27
1649,ARG,new york times company,27
1761,ARG,tianqi lithium h yc 1,27
1765,ARG,tnr gold corp,27
795,ARG, givex information technology group limited,26
1030,ARG, morningstar inc,26
1531,ARG,givex information technology group limited,26
1616,ARG,mercedes benz group ag,26
1626,ARG,mitsubishi ufj financial group inc,26
1676,ARG,oz minerals limited,26
1755,ARG,technipfmc plc,26
551,ARG, b communications ltd,25
731,ARG, european electric metals inc,25
1061,ARG, nextech ar solutions corp,25
1079,ARG, novagold resources inc,25
1189,ARG, savannah resources plc,25
1210,ARG, siemens gamesa renewable energy s.a,25
1358,ARG, wishpond technologies ltd,25
1471,ARG,critical elements corporation,25
683,ARG, delphi automotive,24
860,ARG, hyundai heavy industries holdings co ltd,24
878,ARG, intellicheck mobilisa inc,24
962,ARG, los andes copper ltd,24
1258,ARG, syrah resources limited,24
1375,ARG, youngy co ltd,24
1477,ARG,dbs group holdings ltd,24
1589,ARG,lg energy solution ltd,24
1738,ARG,sony corp,24
639,ARG, chubu electric power company incorporated,23
1060,ARG, nexgen energy ltd.,23
1063,ARG, nexus minerals,23
1321,ARG, usha resources ltd,23
1470,ARG,credit suisse group,23
1701,ARG,radius gold inc,23
1772,ARG,ultra resources inc,23
1779,ARG,volvo car ab (publ.),23
498,ARG, altius minerals corporation,22
589,ARG, brookside energy ltd,22
620,ARG, cazaly resources ltd,22
768,ARG, fosun international ltd,22
997,ARG, mega uranium ltd.,22
1066,ARG, ningbo shanshan gdr/a,22
1078,ARG, nova royalty corp,22
1082,ARG, nutrien ltd,22
1085,ARG, okapi resources limited,22
1158,ARG, redstone resources,22
1173,ARG, riverstone holdings limited,22
1247,ARG, stornoway diamond corporation,22
1295,ARG, toro energy limited,22
1311,ARG, ubs ag london branch,22
1487,ARG,dupont de nemours inc,22
1540,ARG,green technology metals limited,22
1541,ARG,greenbrier companies inc,22
1728,ARG,scotiabank peru s.a.a.,22
1750,ARG,sustainable development acquisition i corp,22
1783,ARG,wealth minerals ltd,22
491,ARG, alita resources limited,21
548,ARG, avicanna inc,21
631,ARG, cheryong electric co.ltd,21
643,ARG, cleanspark inc,21
705,ARG, eldorado gold corp,21
730,ARG, euronext n.v,21
847,ARG, hemlo explorers inc,21
937,ARG, li auto\xa0inc,21
975,ARG, man group plc,21
1004,ARG, metals australia ltd,21
1058,ARG, news corp b,21
1423,ARG,bass metals limited,21
1569,ARG,international business machines,21
485,ARG, airbus group se,20
585,ARG, bridgeline digital inc,20
693,ARG, district metals corp,20
741,ARG, fansunite entertainment inc,20
794,ARG, gevo inc,20
900,ARG, jinkosolar holding company limited,20
1083,ARG, nvidia corporation,20
1148,ARG, quantumscape corp,20
1533,ARG,global acquisitions corporation,20
1539,ARG,green shift commodities,20
1707,ARG,research frontiers incorporated,20
670,ARG, cruz cobalt corp,19
720,ARG, enersys,19
793,ARG, genprex inc,19
1449,ARG,cheryong electric co.ltd,19
1729,ARG,securities trust of scotland plc,19
629,ARG, chemical industries,18
757,ARG, fluor corporation,18
871,ARG, independence group,18
969,ARG, macquarie bank\xa0ltd pref,18
1065,ARG, nikola\xa0corp,18
1104,ARG, pearson plc adr,18
1242,ARG, stantec inc,18
1359,ARG, woodside energy group ltd,18
1475,ARG,cypress development corp,18
1572,ARG,intrepid potash inc,18
1602,ARG,lundin mining corporation,18
1658,ARG,nokian renkaat oyj,18
1663,ARG,norwest minerals limited,18
1700,ARG,quantumscape corp,18
481,ARG, abn amro bank n.v,17
510,ARG, american resources corp class a,17
521,ARG, arctic star exploration corp,17
592,ARG, bullion gold resources corp,17
703,ARG, edison cobalt corp,17
737,ARG, exxon mobil corp,17
851,ARG, hindustan copper ltd.,17
885,ARG, ion exchange (india) limited,17
907,ARG, jushi holdings inc,17
978,ARG, maple gold mines ltd,17
1026,ARG, moodys corporation,17
1053,ARG, nevada silver corporation,17
1064,ARG, nickel 28 capital corp,17
1121,ARG, platypus minerals ltd,17
1195,ARG, scotiabank peru s.a.a.,17
1222,ARG, sk innovation,17
1264,ARG, tartisan nickel corp,17
1291,ARG, tocvan ventures corp,17
1304,ARG, troilus gold corp,17
1418,ARG,banco do brasil sa,17
1454,ARG,china molybdenum co. ltd,17
1482,ARG,digital turbine inc,17
1627,ARG,mitsui e&s holdings co. ltd,17
1679,ARG,patriot battery metals inc,17
558,ARG, baselode energy corp,16
598,ARG, cadence minerals plc,16
695,ARG, dometic group ab (publ),16
767,ARG, fortune minerals limited,16
911,ARG, kenorland minerals ltd,16
920,ARG, kronos worldwide inc,16
976,ARG, mandalay resources corp,16
1093,ARG, ourgame int.hol.dl-00005,16
1440,ARG,caledonia mining corporation,16
1476,ARG,daimler truck holding ag,16
1561,ARG,immunoprecise antibodies ltd,16
1606,ARG,mandalay resources corp,16
1733,ARG,silver bullet mines corp.,16
597,ARG, cabot corporation,15
669,ARG, critical resources ltd.,15
753,ARG, fisker inc,15
756,ARG, fluence energy inc,15
788,ARG, gazprom pao,15
829,ARG, grid metals corp,15
866,ARG, immunotech laboratories inc,15
1013,ARG, mindset pharma inc,15
1018,ARG, minnova corp,15
1100,ARG, panasonic energy india co. ltd.,15
1246,ARG, stifel financial corporation,15
1390,ARG,agricultural bank of china,15
1494,ARG,energy fuels inc,15
1601,ARG,lucid group inc,15
1628,ARG,monumental minerals corp,15
1693,ARG,power metals corp,15
1732,ARG,sigma lithium resources corp,15
531,ARG, arrow exploration corp,14
633,ARG, china development bank financial leasing co. ltd,14
682,ARG, deepspatial inc.,14
694,ARG, dixie gold inc,14
726,ARG, environmental service professionals inc,14
738,ARG, fabled copper corp,14
874,ARG, infinitii ai inc.,14
924,ARG, largo resources ltd,14
945,ARG, lithia motors inc,14
989,ARG, maxtech ventures inc,14
1003,ARG, metalicity limited,14
1203,ARG, shenzhen chengxin lithium group co ltd,14
1416,ARG,avalon advanced materials inc,14
1446,ARG,central bank corporation,14
1499,ARG,enertopia corporatio,14
1617,ARG,mercedes-benz group ag,14
1659,ARG,noram lithium corp,14
1688,ARG,porsche automobil holding se,14
1691,ARG,postmedia network canada corp,14
1780,ARG,vulcan energy resources limited,14
496,ARG, altamira gold corp,13
509,ARG, american rare earths limited,13
544,ARG, australis capital inc,13
571,ARG, blackberry limited,13
605,ARG, canada silver cobalt works inc,13
713,ARG, energizer holdings inc,13
740,ARG, falcon gold corp,13
759,ARG, fobi ai inc,13
810,ARG, goldshore resources inc,13
925,ARG, larvotto resources ltd.,13
960,ARG, loncor gold inc,13
1012,ARG, milestone scientific,13
1095,ARG, pacific securities co ltd,13
1186,ARG, sassy gold corp.,13
1187,ARG, sassy resources corporation,13
1364,ARG, xigem technologies corporation,13
1448,ARG,chemical industries,13
1518,ARG,fortune minerals limited,13
1610,ARG,marquee resources ltd,13
1664,ARG,nouveau monde graphite inc,13
1791,ARG,xpeng inc,13
516,ARG, anglogold ashanti ltd adr,12
542,ARG, austral gold limited,12
601,ARG, cameco corp,12
617,ARG, cassius mining ltd,12
635,ARG, china minmetals rare earth co ltd,12
662,ARG, cowen group inc,12
672,ARG, cullen resources ltd,12
743,ARG, ferrari nv,12
840,ARG, haranga resources ltd,12
939,ARG, lindian resources,12
941,ARG, lion one metals limited,12
963,ARG, loyal lithium ltd.,12
1008,ARG, mgx minerals inc,12
