Date,r_obs,r_true_ar,r_true_ma1,r_true_ma2,r_true_ma3
2021-01-11,0.010050335853501124,0.012067030290089764,0.012110797065848835,0.012264777383888936,0.012468376882354327
2021-01-18,0.014888612493750841,0.014816671344189843,0.015847904807861662,0.016971162497655064,0.01743390325288972
2021-01-25,0.0984400728132524,0.062299802737159925,0.07258776148978219,0.08863712805216785,0.09288698020852619
2021-02-01,0.026433257068156024,0.021377608437514014,-0.020307445686822204,-0.029005617690471282,-0.04788654996590433
2021-02-08,0.0,0.006355323803448204,0.02961849291552505,0.031837220460531515,0.04572227906278978
2021-03-01,0.04839654086184986,0.03385956250760508,0.028679492792705843,0.03676960713890283,0.03709029107620264
2021-03-08,0.053652713492320814,0.036846698036803384,0.03368745175183395,0.034881071580723955,0.02397987582300447
2021-03-15,0.0,0.006355323803448204,-0.012547766798808233,-0.015311458696663751,-0.008651616281929116
2021-03-22,0.014815085785139459,0.014774885379557552,0.03577296938400293,0.03803861431937084,0.03379176507033248
2021-03-29,0.05715841383995013,0.03883902264243341,0.031071804232141172,0.0397517330743036,0.04900061242993308
2021-04-19,0.02531780798428862,0.020743687555593995,0.009490269194633754,0.004980411570687696,-0.011785066800963188
2021-04-26,0.0,0.006355323803448204,0.006508649611386348,0.007767723482838084,0.01981624178922123
2021-05-17,0.017291497110061727,0.01618225472863495,0.022668887673117775,0.023703310823916496,0.01924423422221528
2021-05-24,0.022599831917240465,0.01919903454508913,0.014016128993612672,0.016127716815662975,0.016159606533348077
2021-05-31,0.011111225425070259,0.012669944454936398,0.01175356610744569,0.010282365456264183,0.010866654475857471
2021-06-07,0.010989121575596172,0.01260055161481135,0.013461214576950549,0.015108311923244662,0.014014978978129268
2021-06-28,0.005390848634876377,0.009418997054287866,0.00763075216063102,0.0060496325643477605,0.00701769964854615
2021-07-05,0.010695289116748441,0.012433563686681387,0.01651697944564866,0.018045399579359533,0.01801980312321534
2021-07-12,0.021053409197831385,0.018320187031305623,0.017691821102100526,0.019199150721402727,0.020972669228364604
2021-07-19,0.010362787035546717,0.012244599425018418,0.008221624439553304,0.007348305918950892,0.003478664277874695
2021-07-26,0.005141399500418586,0.009277232613761897,0.011612724727035303,0.011539057144530449,0.014925945986905217
2021-08-02,0.030305349495328926,0.02357815733016169,0.028990911262064635,0.033237540480552476,0.03451581858249571
2021-08-09,0.06267110696277634,0.04197194133564723,0.04095356098097169,0.04764243875979587,0.0479140458793832
2021-08-16,0.041195756438266784,0.02976728462748236,0.014264523874945305,0.014733654078968025,0.009033633094027976
2021-08-23,0.03524593906167439,0.026385943844489824,0.03081795345535036,0.03412683410669681,0.036995945564560026
2021-08-30,0.03822121282019886,0.028076821709051798,0.019980282764205406,0.023294092220312534,0.021976121342114387
2021-09-06,0.056695343676544496,0.03857585523244355,0.04337616250924374,0.048699237572336615,0.0478409283430572
2021-09-13,0.10102040231520881,0.06376622982664498,0.06008128851529761,0.07273789116514998,0.07811827734616707
2021-10-18,0.022223136784710107,0.01898495492990787,-0.01614615748448587,-0.023811911927588594,-0.0447463891524714
2021-10-25,0.01634913800153015,0.01564670261262576,0.04000809792305626,0.044832186884143414,0.0624012854771696
2021-11-01,0.008075414005544346,0.010944662431541503,-0.011416618381612023,-0.012737802775785664,-0.02303146708498377
2021-11-08,0.0,0.006355323803448204,0.023183657105300695,0.02075276814885917,0.019580717156797257
2021-11-15,0.0,0.006355323803448204,-0.004433378381885195,-0.002397094662157557,0.008756466754041674
2021-11-22,0.008010723746080473,0.010907898309427752,0.024003768896725314,0.021546179842540522,0.006811042718527357
2021-11-29,0.0,0.006355323803448204,-0.0050879716198306,-0.0036158816177973042,0.011878719806729875
2021-12-06,0.015831465216679774,0.015352503986202977,0.030768560786503005,0.03019959463126061,0.018769802186448508
2021-12-13,0.0,0.006355323803448204,-0.010487452955370586,-0.010314960970902575,-0.003082466715513772
2021-12-20,0.0,0.006355323803448204,0.02244202312208257,0.019647696392287868,0.015060566487768127
2021-12-27,0.09483410267083947,0.06025049380328178,0.0718526849476648,0.09059207720898946,0.10647865524228127
2022-01-17,0.09219576856661504,0.05875110211760226,0.030308531099483275,0.0313320569886181,0.011069186528990381
2022-01-24,0.07423902516485192,0.04854610506458542,0.04913538834514264,0.057481916978523034,0.06534880319657177
2022-02-14,0.11982821625212559,0.07445489878546517,0.07049638686350582,0.08432252476889364,0.08700416418668402
2022-02-21,0.13334563986091474,0.08213698595493095,0.06423584951209745,0.07506511755069326,0.06076174609998345
2022-02-28,0.08711973696156328,0.05586634253667026,0.032336534676403725,0.036504741697937514,0.039611285929970916
2022-03-07,0.091075415888481,0.05811439447396712,0.06095505774716319,0.07084356229982239,0.06563025641053334
2022-03-14,0.04468828661460478,0.03175212449291153,0.001087497709879497,0.0003468178748098367,-0.005239540721970623
2022-03-21,0.018557233560217767,0.016901585425451063,0.02801509975810766,0.028112581978339858,0.027400924157195188
2022-03-28,0.004077477616656111,0.008672595155537142,-0.005035175973152801,-0.0045469622159997995,-0.002136533954401696
2022-04-18,-0.003056548482549104,0.0046182566995236676,0.01565050014418636,0.012231664673403643,0.005903388290862422
2022-04-25,-0.04167269640056759,-0.017327686776148408,-0.03168267277543638,-0.0368421966084528,-0.031718610900359455
2022-05-16,-0.003203419717538125,0.00453478830624648,0.03680260992988805,0.03783020222292176,0.03943859021035534
2022-05-23,0.0,0.006355323803448204,-0.015303674483332842,-0.01503171468570275,-0.013430336961235773
2022-05-30,0.0,0.006355323803448204,0.026286205938469025,0.022781788479200215,0.018127891360879597
