Date,true_unsmoothed_return
2023-02-03,-0.03818667911228586
2023-02-06,-0.03170953032075513
2023-02-07,0.014460372133365764
2023-02-08,-0.012423018606665434
2023-02-09,-0.01781762328992379
2023-02-10,-0.021195953511452155
2023-02-13,0.00939924189158444
2023-02-14,-0.010322592696355305
2023-02-16,-0.027687148696682144
2023-02-17,-0.055972496876603904
2023-02-21,-0.020818188518026328
2023-02-22,-0.02400169768146345
2023-02-23,0.006632768377834223
2023-02-24,-0.019800810172811937
2023-02-27,0.019300543182059596
2023-02-28,-0.033465311150340904
2023-03-01,0.014514183083464673
2023-03-02,-0.01247402768846898
2023-03-03,0.033780832411496
2023-03-06,-0.01447777891827243
2023-03-07,-0.06271899039781434
2023-03-08,-0.0022434666986516673
2023-03-09,-0.04715412205251772
2023-03-10,-0.05241159939714352
2023-03-13,-0.006845917719585903
2023-03-14,-0.018082116776023806
2023-03-15,-0.05300103652154621
2023-03-16,0.01523293410361554
2023-03-17,-0.015505591535262967
2023-03-20,-0.013467056301837215
2023-03-21,0.01556285561300589
2023-03-22,-0.028246841824575993
2023-03-23,-0.03401021108555167
2023-03-24,0.006747310959345257
2023-03-27,-0.01028928828622229
2023-03-28,0.08637923661749222
2023-03-29,0.007452229742163672
2023-03-30,-0.003140505857016803
2023-03-31,-0.019194595928042606
2023-04-03,-0.013324979990361372
2023-04-04,-0.044902322131286906
2023-04-06,0.0076032668872210215
2023-04-10,-0.011510402595302222
2023-04-11,0.021727126929760827
2023-04-12,0.0014649217150435124
2023-04-13,0.008825197315080593
2023-04-14,0.0068066830570565375
2023-04-17,-0.008308213473344952
2023-04-18,0.0067440957121296385
2023-04-19,-0.000746185172029215
2023-04-20,-0.02541969726570016
2023-04-21,-0.05238432503354909
2023-04-24,0.011717848842135333
2023-04-25,-0.01442152803375324
2023-04-26,0.007414528151049248
2023-04-27,0.030396343213263007
2023-04-28,0.037274366251506263
2023-05-04,-0.021302751154000064
2023-05-05,0.07985403650066292
2023-05-08,0.054770991671574634
2023-05-09,0.0026919564120238913
2023-05-10,0.039162034071530974
2023-05-11,0.027548812146004433
2023-05-12,-0.025754708347688882
2023-05-15,0.06750047681436304
2023-05-16,0.008315580576330275
2023-05-17,0.029739725109567426
2023-05-18,0.02262813108459524
2023-05-19,0.021898131047508592
2023-05-22,0.01961826027249962
2023-05-23,0.0011819219488634087
2023-05-24,-0.0650340889578383
2023-05-25,-0.027282016002649356
2023-05-26,0.013291135526569124
2023-05-30,-0.003957406417680619
2023-05-31,-0.014268756487886398
2023-06-01,0.020553993786360848
2023-06-02,0.0691205203483265
2023-06-05,-0.01112625482660537
2023-06-06,0.007270786485994992
2023-06-07,0.005880760073277915
2023-06-08,0.029794069181888354
2023-06-09,0.0016885541000782466
2023-06-12,-0.011535293808985497
2023-06-13,0.016118629899518646
2023-06-14,-0.002351677155774926
2023-06-15,0.013153224363171985
2023-06-16,0.01839620239186649
2023-06-20,-0.018514953847621255
2023-06-21,-0.004970575488812496
2023-06-26,-0.0018340500626677855
2023-06-27,0.004313623127108798
2023-06-28,-0.011559698363738347
2023-06-29,0.008506787194576274
2023-06-30,0.02440719135599766
2023-07-03,0.02052379975970183
2023-07-05,0.0014355338421135596
2023-07-06,-0.032959988693695506
2023-07-07,0.0212823537898199
2023-07-10,0.01911002860461931
2023-07-11,0.0068333730662580895
2023-07-12,0.01181477788556924
2023-07-13,-0.0016975220055680303
2023-07-14,0.0017635064452120978
2023-07-17,-0.013077773708757913
2023-07-18,-0.011355460193732169
2023-07-19,-0.007884699090850569
2023-07-20,-0.0011645875799987113
2023-07-21,-0.054264830207114326
2023-07-24,-0.033140608385880115
2023-07-25,0.006436793862646575
2023-07-26,0.001931245618902492
2023-07-27,-0.0358119412677429
2023-07-28,0.005229594735164926
2023-07-31,-0.013913816583535807
2023-08-01,0.007892478731792009
2023-08-02,-0.02524460325321383
2023-08-03,-0.00034919566896092166
2023-08-04,0.007695761398000118
2023-08-07,-0.012845546738448049
2023-08-08,-0.03449050398563103
2023-08-09,-0.017019258270740585
2023-08-10,0.021061880277519256
2023-08-11,-0.02102669597358521
2023-08-14,-0.05114821099383818
2023-08-15,-0.04251343454429
2023-08-16,-0.021673194585263837
2023-08-17,-0.014001180222928213
2023-08-18,-0.03409565700445313
2023-08-21,0.018939067506625877
2023-08-22,0.021559555284019982
2023-08-23,0.021862839805795075
2023-08-24,-0.014572841807696885
2023-08-25,-0.01763954142843463
2023-08-28,-0.02120168569483899
2023-08-29,0.027492872620618884
2023-08-30,-0.01772947887923268
2023-08-31,0.006382985488971817
2023-09-01,0.015743078919957187
2023-09-05,0.01580849123796308
2023-09-06,-0.049934172012980484
2023-09-07,0.023207914234508537
2023-09-08,-0.032951765097386114
2023-09-11,-0.014577079422077832
2023-09-12,-0.013129094260375989
2023-09-13,-0.010429585751650445
2023-09-14,0.009966240913677328
2023-09-18,-0.06261048586040863
2023-09-19,0.02730979494860352
2023-09-20,-0.04727455357847156
2023-09-21,-0.032960028070696964
2023-09-22,0.012092565394328653
2023-09-25,-0.013871372278452247
2023-09-26,-0.026121607462316673
2023-09-27,-0.009390987810341766
2023-10-09,-0.02555036452223479
2023-10-10,0.04516803638728267
2023-10-11,-0.001902002923299242
2023-10-13,0.013612645860040283
2023-10-16,-0.0009968400885787595
2023-10-17,0.019314536036961247
2023-10-18,-0.06414413030775185
2023-10-19,-0.05795149891297294
2023-10-20,-0.010696952103012514
2023-10-23,-0.04541176042926197
2023-10-24,0.046574355551119384
2023-10-25,0.007681758951233403
