,Index
2018-01-01,100.0
2018-02-01,103.61106139125707
2018-03-01,106.68802349721155
2018-04-01,109.11915053746773
2018-05-01,109.4447458955282
2018-06-01,106.25875402202303
2018-07-01,96.75114970311375
2018-08-01,91.15528426524003
2018-09-01,88.62121598633465
2018-10-01,86.5382625988153
2018-11-01,80.79055037764384
2018-12-01,80.04214051253575
2019-01-01,72.78655900869731
2019-02-01,70.43221508292098
2019-03-01,70.22836211525643
2019-04-01,69.76253327902516
2019-05-01,67.67188466747754
2019-06-01,64.10696643275631
2019-07-01,63.706222842976565
2019-08-01,66.32803922591121
2019-09-01,71.13425629042284
2019-10-01,69.76955199984215
2019-11-01,65.82178932280621
2019-12-01,62.24052226047911
2020-01-01,58.941328849620376
2020-02-01,58.378929179979465
2020-03-01,56.450556776236695
2020-04-01,54.147683469784965
2020-05-01,53.647437532680044
2020-06-01,53.002532658897216
2020-07-01,52.284339937226136
2020-08-01,55.9621496453291
2020-09-01,56.83015964066404
2020-10-01,57.306248775599656
2020-11-01,57.97691714667859
2020-12-01,59.664144343235186
2021-01-01,57.56791458019453
2021-02-01,62.81676205831741
2021-03-01,63.55062710438304
2021-04-01,63.87281175875333
2021-05-01,65.03479058702159
2021-06-01,66.27200220991051
2021-07-01,69.62297630406565
2021-08-01,72.524526764863
2021-09-01,78.60499400308093
2021-10-01,85.48990812240764
2021-11-01,95.01823035216222
2021-12-01,104.8421562976107
2022-01-01,123.01979758460168
2022-02-01,146.1788984554586
2022-03-01,196.1771367283459
2022-04-01,200.56595131150016
2022-05-01,183.79284344165376
2022-06-01,176.873568596721
2022-07-01,166.61668059605572
2022-08-01,163.66044612568024
2022-09-01,160.27849382197542
2022-10-01,156.69037716463413
2022-11-01,160.6320513127686
2022-12-01,167.6517023216745
2023-01-01,164.50787914833884
2023-02-01,156.04939037194993
2023-03-01,134.5553048422127
2023-04-01,117.08745636201944
2023-05-01,96.61635643826699
2023-06-01,101.81409973630471
2023-07-01,103.46583870190308
2023-08-01,97.55291875901125
2023-09-01,85.7338720929741
2023-10-01,76.81248599426948
2023-11-01,73.10854634963097
2023-12-01,66.01464911328752
