Year,Number
2010,
2011,23.22849807445443
2012,6.263484158101091
2013,0.6930797791248149
2014,0.38005911092345745
2015,0.9128527722277722
2016,0.24642865886001064
2017,0.40902663024833763
2018,0.47606772239357165
2019,-0.05457836369416924
2020,1.0440606431498107
2021,0.8722222511802948
2022,0.32578871364335793
