,dates,DocumentIdentifier
1307,2017-02-16 18:30:00,http://www.midasletter.com/2017/02/former-tesla-motors-engineer-and-lithium-americas-cto-dr-david-deak-on-lithium-and-cobalt-supply/
1333,2017-02-23 02:30:00,http://www.einnews.com/pr_news/367824846/uranium-resources-reports-favorable-lithium-concentrations-at-the-columbus-basin-project
1355,2017-03-01 01:15:00,https://www.moneymorning.com.au/20170301/end-lithium-cobalt-graphite-stocks-asxu.html
1410,2017-03-21 15:15:00,http://www.nasdaq.com/article/albemarle-to-double-lithium-production-at-greenbushes-mine-cm763331
1413,2017-03-22 11:00:00,http://www.einnews.com/pr_news/372284060/fmc-corporation-makes-a-us-10m-payment-per-lithium-carbonate-supply-agreement
1447,2017-03-30 13:30:00,http://www.prnewswire.com/news-releases/the-role-of-cobalt-in-the-lithium-battery-market-617653193.html
1448,2017-03-30 13:45:00,http://www.military-technologies.net/2017/03/30/the-role-of-cobalt-in-the-lithium-battery-market-2/
1456,2017-04-03 13:45:00,http://www.nasdaq.com/article/lithium-etf-lit-hits-new-52-week-high-cm768890
1569,2017-04-11 14:15:00,http://www.prnewswire.com/news-releases/the-importance-of-cobalt-in-the-lithium-market-619140364.html
1599,2017-04-18 14:15:00,http://www.prnewswire.com/news-releases/the-lithium-and-cobalt-markets-are-gaining-interest-619708313.html
1624,2017-05-01 15:45:00,http://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-benefit-from-demand-for-rechargeable-batteries-620886573.html
1628,2017-05-02 15:30:00,http://www.prnewswire.com/news-releases/hotter-than-lithium-cobalt-prices-soaring-on-supply-deficit-620993503.html
1644,2017-05-05 11:15:00,http://www.einnews.com/pr_news/379518556/johnson-matthey-battery-materials-approves-lithium-hydroxide-from-nemaska-lithium-and-releases-2m-milestone-payment
1650,2017-05-10 13:45:00,http://www.prnewswire.com/news-releases/the-demand-for-lithium-and-cobalt-markets-621863743.html
1660,2017-05-11 14:00:00,http://www.prnewswire.com/news-releases/the-importance-of-lithium-and-cobalt-in-todays-energy-market-621990303.html
1673,2017-05-23 13:30:00,http://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-continue-to-grow-due-to-rechargeable-batteries-623839774.html
1681,2017-05-29 15:30:00,http://www.einnews.com/pr_news/383803079/critical-elements-successfully-completes-pilot-plant-work-for-lithium-carbonate-conversion
1690,2017-05-31 13:45:00,http://www.prnewswire.com/news-releases/the-importance-of-cobalt-in-the-lithium-battery-market-625486594.html
1692,2017-06-05 20:15:00,http://www.prnewswire.com/news-releases/the-growth-of-lithium-and-cobalt-demand-from-electric-vehicles-626486921.html
1733,2017-06-20 21:15:00,http://www.einnews.com/pr_news/387922236/nemaska-lithium-delivers-battery-grade-lithium-hydroxide-to-johnson-matthey-and-provides-phase-1-plant-update
1739,2017-06-22 13:30:00,http://www.prnewswire.com/news-releases/the-growth-of-electric-vehicle-demand-pushes-cobalt-and-lithium-markets-higher-630121623.html
1745,2017-06-23 19:45:00,http://www.nasdaq.com/article/how-tesla-is-driving-the-lithium-etf-higher-cm807581
1747,2017-06-24 05:00:00,https://mrtopstep.com/how-tesla-is-driving-the-lithium-etf-higher/
1773,2017-08-03 14:30:00,http://www.nasdaq.com/article/lithium-etf-lit-hits-new-52-week-high-cm826332
1819,2017-09-01 07:15:00,https://seekingalpha.com/article/4103528-100-tons-lithium-carbonate-per-hectare-good-rule-thumb-lithium-projects-potential-argentina
1826,2017-09-06 13:45:00,http://www.prnewswire.com/news-releases/the-growth-of-cobalt-markets-and-lithium-ion-batteries-as-a-result-of-evs-popularity-642870043.html
1828,2017-09-06 15:45:00,https://investingnews.com/company-profiles/galaxy-resources-lithium-spodumene-australia/
1829,2017-09-06 15:45:00,https://investingnews.com/company-profiles/lico-energy-metals-lithium-cobalt-dixie-valley-nevada/
1838,2017-09-11 19:45:00,http://www.afr.com/markets/commodities/metals/lithium-etf-surges-on-china-electriccar-push-20170911-gyfesf
1839,2017-09-12 18:15:00,http://www.prnewswire.com/news-releases/cobalt-and-lithium-markets-projected-to-grow-due-to-the-demand-of-batteries-643941013.html
1840,2017-09-12 18:30:00,http://www.prnewswire.com/news-releases/lithium-and-cobalt-mining-pushed-higher-thanks-to-electric-and-plug-in-hybrid-vehicles-643941453.html
1843,2017-09-13 18:15:00,http://www.nasdaq.com/article/inside-the-surge-in-lithium-etf-cm845242
1848,2017-09-15 13:30:00,http://markets.businessinsider.com/news/stocks/New-technology-enables-sustainable-expansion-of-lithium-production-in-Chile-674900
1850,2017-09-16 11:15:00,http://www.itbusinessnet.com/article/New-technology-enables-sustainable-expansion-of-lithium-production-in-Chile-5143009
1853,2017-09-18 10:15:00,http://www.4-traders.com/ALBEMARLE-CORPORATION-11613/news/Albemarle-Corporation-New-technology-enables-sustainable-expansion-of-lithium-production-in-Chile-25133250/
1855,2017-09-18 16:45:00,http://www.nasdaq.com/article/albemarles-technology-to-boost-lithium-production-in-chile-cm847111
1859,2017-09-19 12:45:00,https://mrtopstep.com/albemarles-technology-to-boost-lithium-production-in-chile/
1861,2017-09-19 16:00:00,http://www.indmin.com/Article/3752156/Albemarle-requests-increase-in-total-lithium-production-in-Chile.html
1878,2017-09-26 13:30:00,http://www.prnewswire.com/news-releases/lithium-batteries-in-the-automobile-industry-help-lithium-and-cobalt-markets-647933253.html
1882,2017-09-27 14:45:00,http://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-in-the-spotlight-as-a-result-of-new-battery-technologies-648208503.html
1898,2017-09-29 14:00:00,http://www.prnewswire.com/news-releases/data-shows-lithium-and-cobalt-markets-are-projected-to-see-strong-demand-648642303.html
1905,2017-10-03 13:45:00,http://www.prnewswire.com/news-releases/breakthrough-in-lithium-production-could-disrupt-electric-car-markets-649224453.html
1935,2017-10-13 23:45:00,https://www.benzinga.com/content/10178184/far-resources-intersects-40-5-metres-of-light-green-spodumene-at-zoro-lithium-prope
1955,2017-10-23 18:00:00,https://seekingalpha.com/article/4115507-high-risk-high-reward-lithium-mining-companies-invest
1990,2017-11-01 01:30:00,https://wattsupwiththat.com/2017/10/31/wall-street-loves-electric-cars-america-loves-trucks-tesla-news-cobalt-cliffs-lithium-landslides-and-real-disruptive-innovation/comment-page-1/
