,aluminium,cobalt,iron,lithium,manganese,natural graphite,nickel,phosphorous
2018-01-01,0.03363369555410749,37.326620306968,0.013023505540888256,43.40696459572853,0.7642706826782266,0.27059102392965545,17.978170162039785,0.20672602756080352
2018-02-01,0.03205467500665734,37.660854385502454,0.012880799616594996,42.63860739719077,0.8395907267019378,0.26935209858371534,18.339609955003112,0.20704996239475568
2018-03-01,0.029520228584839752,39.65764301471936,0.0114876699324254,41.40415410827729,0.8761864532383127,0.2685221694967153,17.54183044480415,0.21065591094690705
2018-04-01,0.031448779851285205,40.17531000900309,0.010446521444654626,40.61696245474724,0.8435805661358782,0.272764346072901,17.84945755262913,0.2000297701158288
2018-05-01,0.031983788194646305,39.82464160354564,0.01046309317633235,40.35394629416831,0.964996727490507,0.2719788723699963,18.345080887169136,0.19690873388543986
2018-06-01,0.03205485353640636,36.90112903010075,0.010813789086295506,41.77894416190588,0.9282821357414853,0.27632161460459165,19.867865177110968,0.2045892379136004
2018-07-01,0.03275747147884958,35.2628752929292,0.011908899924630048,43.25315039777217,0.9947046521994823,0.3037296358595611,19.92369122570428,0.21718242413181496
2018-08-01,0.03425565002167015,33.53647402173344,0.012824145966507196,44.15505826991332,1.1555678638491864,0.32467872001253867,20.560556206011096,0.22058512249225545
2018-09-01,0.03480532343572182,33.90074385648128,0.0133419090517357,44.453010924032846,1.3220612492525063,0.33396629738611644,19.727886721636164,0.21418371872362935
2018-10-01,0.03570378751105748,33.833946562512594,0.014303243165296676,44.31707371141633,1.337100971378722,0.3566718562237404,19.8876668002279,0.21753306756436006
2018-11-01,0.03652046356846874,32.85318475780482,0.01537805316909099,45.69593202991601,1.3465662349350809,0.3872551029297458,19.441387996448835,0.22377536122795355
2018-12-01,0.03651829717841036,33.34251384927078,0.01479430809161523,45.82164584613333,1.2222825922238443,0.41907406675902964,18.91729647821134,0.225874562131645
2019-01-01,0.04019789751898853,25.956295868913337,0.013071925994811965,48.90002599301489,1.1408226745180767,0.47629634181482366,23.290251855077525,0.18303744314754078
2019-02-01,0.04175240583752727,21.15515646859098,0.01573575803973664,50.42846378881553,1.1790427367897065,0.49225331413885465,26.498102414406944,0.1894931133807254
2019-03-01,0.04205944221459281,20.710292292374696,0.015688348663735717,50.139131066143875,1.1382484624437095,0.4744270402150806,27.29010598343975,0.1900473645045671
2019-04-01,0.041759319395566326,22.291611433784478,0.017141562203492507,48.94056798747028,1.105427620245027,0.4727753739732098,26.939388549896137,0.19132815303179587
2019-05-01,0.041548982476486196,23.435534787720826,0.019027205140926037,48.53053391710011,1.1642491734940477,0.48733819146730173,26.12454614179716,0.19722160080312928
2019-06-01,0.04323851068564673,20.86058147542234,0.02162382617259985,49.727973471072204,1.212622308938761,0.5144656891284598,27.41265741590858,0.20683730267141753
2019-07-01,0.04452500484917199,19.920574567951356,0.023752204127602844,46.90192629558811,1.2182346065040575,0.4247581605651542,31.284152150324125,0.18207701009042598
2019-08-01,0.04143024124574578,21.09270926334734,0.017839064204546323,42.19213575690492,1.1372353899283394,0.3978200805880888,34.93711576228835,0.18371444149266103
