Date,true_unsmoothed_return
2017-05-10,0.004848005618572229
2017-05-11,0.002770288924898417
2017-05-12,1.1630313622352991e-15
2017-05-15,0.010190705688019875
2017-05-16,0.004749066728404437
2017-05-17,-0.026515622566876805
2017-05-18,-0.0023745333642107326
2017-05-19,0.03202882669056134
2017-05-22,-0.002322052855764262
2017-05-23,-0.002397152190993915
2017-05-24,0.008584104181918384
2017-05-25,0.009567513397152408
2017-05-26,0.006469674403270797
2017-05-30,0.00023703311385194934
2017-05-31,-0.006004820985850703
2017-06-01,0.00231596765868222
2017-06-02,0.004353675893926813
2017-06-05,-0.003122122352433287
2017-06-06,-0.00045512537116768054
2017-06-07,-0.000504604811866766
2017-06-08,0.0032152766057917787
2017-06-09,-0.0032015524350760627
2017-06-12,-0.009688291241385143
2017-06-13,0.016011554240654112
2017-06-14,-0.00846711971433201
2017-06-15,-0.01723158922357304
2017-06-16,0.0036723755745463422
2017-06-19,0.0013880413080305254
2017-06-20,-0.007022860745884412
2017-06-21,-0.003413554989524918
2017-06-22,-0.0026918738397143146
2017-06-23,0.005145423316188412
2017-06-26,0.004470362558402568
2017-06-27,-0.004335324420451408
2017-06-28,0.008503136331475425
2017-06-29,-0.0016612970954930605
2017-06-30,-0.005311357617559805
2017-07-03,0.002064968472961726
2017-07-05,0.0008164458944824884
2017-07-06,-0.004578680381652013
2017-07-07,0.012525851841757581
2017-07-10,0.010781012211353943
2017-07-11,-0.00107498126922277
2017-07-12,0.014844510347412984
2017-07-13,0.007907312373927548
2017-07-14,0.006588209462845443
2017-07-17,0.0004164792862965172
2017-07-18,0.001994208555324956
2017-07-19,-0.002365740742714566
2017-07-20,0.002054984785798974
2017-07-21,0.0024371291181663744
2017-07-24,0.007488346982816
2017-07-25,0.004827163554598109
2017-07-26,-0.004653816109938551
2017-07-27,-0.005471054041962644
2017-07-28,0.0032598583604520484
2017-07-31,0.0028493470962121722
2017-08-01,0.002885186132133238
2017-08-02,0.02711366413456124
2017-08-03,0.0017531170886706559
2017-08-04,0.01615809112496157
2017-08-07,0.005274076452695264
2017-08-08,-0.004539964651371763
2017-08-10,-0.023630469130136535
2017-08-11,-0.00018304188982496433
2017-08-14,0.015141476582225482
2017-08-15,0.0208744192167874
2017-08-16,-0.0003988767101523105
2017-08-17,-0.01411629954145991
2017-08-18,0.0030197693199091086
2017-08-21,0.004481371881076977
2017-08-22,0.01938306789282779
2017-08-23,0.0016583041919875376
2017-08-24,0.0070758133898239615
2017-08-25,0.008483747403150423
2017-08-28,-0.003339925674960655
2017-08-29,-0.0029081158985394943
2017-08-30,0.0041610535462789635
2017-08-31,0.017930114221680008
2017-09-01,0.013516738353880552
2017-09-05,0.038235114116017196
2017-09-06,0.04229464648596879
2017-09-07,-0.01667079793355492
2017-09-08,-0.016791023271812824
2017-09-11,0.05650059430833591
2017-09-12,0.006520747311999895
2017-09-13,0.019879621120843044
2017-09-14,0.013166681288106503
2017-09-15,0.012641046797404574
2017-09-18,0.019078514592969466
2017-09-19,0.016408430955168033
2017-09-20,-0.022253808272207676
2017-09-21,-0.011819109859360005
2017-09-22,-0.021983526134062667
2017-09-26,0.0066213951508142955
2017-09-27,0.01844865858262898
2017-09-28,0.0008649903838448696
2017-09-29,0.012034219391991972
2017-10-09,-0.0036335330091106432
2017-10-10,0.006885641962039872
2017-10-11,0.018024848420795707
2017-10-12,0.009461961491144852
2017-10-13,0.004190417678407575
2017-10-16,0.002831021629858462
2017-10-17,-0.012472822152537187
2017-10-18,0.003436820296849518
2017-10-19,-0.0013135011392608484
2017-10-20,0.001135854500261893
2017-10-23,0.0004890909860515476
2017-10-24,0.0018169754226946223
2017-10-25,-0.014974380333306335
2017-10-26,-0.0019152209031053319
2017-10-27,0.0011117906960084268
2017-10-30,-0.00015792378351522625
2017-10-31,0.006332030606736974
2017-11-01,0.016387736632567214
2017-11-02,0.00013132176763138922
2017-11-03,-0.008266559416329295
2017-11-06,0.008727713207514864
2017-11-07,0.00931038120153192
2017-11-08,0.018278726639981615
2017-11-09,-0.010441915178617605
2017-11-10,0.0031238997144570637
2017-11-13,0.002480759110942017
2017-11-14,-0.015434144031058649
2017-11-15,-0.023754355637662185
2017-11-16,0.017506306208231955
2017-11-17,0.0011838225375942787
2017-11-20,-0.0039631526062048495
2017-11-21,0.016889231249264492
2017-11-22,0.002191378927404271
2017-11-24,0.0058180461304229575
2017-11-27,-0.009403934491677937
2017-11-28,0.0038105253121754946
2017-11-29,-0.014625049803284638
2017-11-30,0.006580427192265411
2017-12-01,-0.00832369438769573
2017-12-04,-0.01435934684041332
2017-12-05,-0.022380645633908017
2017-12-06,-0.020474528465942797
2017-12-07,0.006048131677435555
2017-12-08,0.009161892307316134
2017-12-11,0.009956689549772222
2017-12-12,0.0008608083387571337
2017-12-13,0.01399963785926153
2017-12-14,-0.005738179803199542
2017-12-15,-0.016074850480161752
2017-12-18,0.03581788372833378
2017-12-19,0.004743511567762719
2017-12-20,0.006498825607312174
2017-12-21,-0.02310875513372083
2017-12-22,0.012004692325214658
2017-12-26,-0.008392845127160367
2017-12-27,0.007461979708406659
2017-12-28,-0.025713024498729847
2017-12-29,-0.000254126246907124
2018-01-02,0.020834863473376895
2018-01-03,0.006349114107651727
2018-01-04,-0.0015355068310608049
2018-01-05,0.017096724336148127
2018-01-08,0.013923983066567294
2018-01-09,-0.014837754737901823
2018-01-10,-0.008639207576785437
2018-01-11,0.004011265260881211
2018-01-12,0.006578787302881741
2018-01-16,-0.021027288455067666
2018-01-17,0.0037371209267487602
