DATE,FPCPITOTLZGEMU
1960-01-01,1.74118084746923
1961-01-01,1.87084961406325
1962-01-01,2.75266718866912
1963-01-01,2.92164111900189
1964-01-01,3.65673101579698
1965-01-01,3.66648280262594
1966-01-01,3.43237006366126
1967-01-01,2.98754606695165
1968-01-01,3.24282887679454
1969-01-01,2.64808571111228
1970-01-01,4.14064840027025
1971-01-01,5.0163194330344
1972-01-01,5.90625351724097
1973-01-01,7.91554614965598
1974-01-01,14.6648454356765
1975-01-01,12.2270629206871
1976-01-01,9.71142110935913
1977-01-01,9.76746473607037
1978-01-01,7.57369772258264
1979-01-01,8.46533490414879
1980-01-01,13.5400697127799
1981-01-01,11.5097558377123
1982-01-01,9.58492764677445
1983-01-01,8.66927159808522
1984-01-01,7.06765638328172
1985-01-01,5.19562195429435
1986-01-01,2.73605256111872
1987-01-01,3.22415428117574
1988-01-01,3.06504079522199
1989-01-01,3.92726718218467
1990-01-01,3.97518340428825
1991-01-01,4.17862274798465
1992-01-01,5.2705899859293
1993-01-01,4.59790321006555
1994-01-01,4.4142555634662
1995-01-01,4.08646004554944
1996-01-01,3.02395109495527
1997-01-01,2.223054305268
1998-01-01,2.30647934035989
1999-01-01,1.8991144190705
2000-01-01,2.94756559977476
2001-01-01,2.85732893518829
2002-01-01,2.32690683615857
2003-01-01,2.09523529072289
2004-01-01,2.21620788926273
2005-01-01,2.52392898747161
2006-01-01,2.72004750529271
2007-01-01,2.48231546689542
2008-01-01,4.11407022033816
2009-01-01,0.437175412792701
2010-01-01,1.5205755786839
2011-01-01,3.28801427219796
2012-01-01,2.54154474108009
2013-01-01,1.31023355618666
2014-01-01,0.220195628198753
2015-01-01,-0.0852072296963749
2016-01-01,0.166009884375616
2017-01-01,1.37503641525339
2018-01-01,1.6892396580413
2019-01-01,1.44123966942341
2020-01-01,0.186938139702131
2021-01-01,2.4865043812082
2022-01-01,8.47117645590892
2023-01-01,5.78431554960862
