Date,obs,true
2021-01-11,0.10724553035359641,0.0872824097122154
2021-01-18,0.06559728248581465,0.05493120706829944
2021-01-25,0.0836990188766471,0.06899213332972776
2021-02-01,0.028778964550042474,0.02633175989996574
2021-02-08,0.02105340919783316,0.020330762990574635
2021-03-01,0.050966443592027844,0.04356637761842626
2021-03-08,0.02454110891611805,0.023039911301100488
2021-03-15,0.012048338516173374,0.01333587409704869
2021-03-22,0.02366974408590572,0.022363059293100715
2021-03-29,0.03448617607116944,0.030764963357595473
2021-04-19,0.0,0.003977059241340269
2021-04-26,-0.01117330059812538,-0.004702050453715287
2021-05-17,0.0,0.003977059241340269
2021-05-24,0.0,0.003977059241340269
2021-05-31,0.0,0.003977059241340269
2021-06-07,-0.01129955525393278,-0.00480012156507944
2021-06-28,-0.005698021114637797,-0.00044900536368623145
2021-07-05,0.0,0.003977059241340269
2021-07-12,0.0,0.003977059241340269
2021-07-19,0.0,0.003977059241340269
2021-07-26,0.011363758650315248,0.012804111463560969
2021-08-02,0.0056338177182553295,0.008353252430565778
2021-08-09,0.03315220731690083,0.029728773464877796
2021-08-16,0.047754431295899735,0.041071375643393
2021-08-23,0.06031979023352285,0.0508317976082039
2021-08-30,0.07966740273387174,0.0658604858416637
2021-09-06,0.11075136429270316,0.09000564418200682
2021-09-13,0.12492592316876205,0.10101604798202442
2021-10-18,0.03911489864601414,0.03436042654434598
2021-10-25,0.018349138668195764,0.018230160723079317
2021-11-01,0.00518135874199821,0.008001794859639338
2021-11-08,0.005154650588664822,0.00798104870764091
2021-11-15,0.0102302682508153,0.0119236475908533
2021-11-22,0.010126668817928675,0.011843174427666458
2021-11-29,0.019950786419348887,0.019474276228879747
2021-12-06,0.0411182469294733,0.03591657187104205
2021-12-13,0.05531363798405131,0.046943157528959785
2021-12-20,0.079697701632508,0.06588402118492184
2021-12-27,0.06995858860691051,0.05831894857818587
2022-01-17,0.07201859240348796,0.059919102334518734
2022-01-24,0.06999941409835309,0.05835066068648126
2022-02-14,0.09929822098228058,0.08110916043744286
2022-02-21,0.10834114379596471,0.08813345181621887
2022-02-28,0.04367506350266126,0.03790263599900058
2022-03-07,0.0601217301789827,0.05067795005667101
2022-03-14,0.010010093595099079,0.01175262203110484
2022-03-21,0.001990050408011257,0.005522875147583549
2022-03-28,0.0,0.003977059241340269
2022-04-18,-0.01511363781004782,-0.00776279500251244
2022-04-25,-0.05745705502478771,-0.04065398589483389
2022-05-16,0.0,0.003977059241340269
2022-05-23,0.0,0.003977059241340269
2022-05-30,0.0021645030095722717,0.005658385085067007
2022-06-06,0.0021598280534309566,0.0056547537089294275
2022-06-13,0.009661910911736626,0.011482163389427508
2022-06-20,0.0,0.003977059241340269
2022-06-27,0.002134472528632969,0.00563505824122364
2022-07-04,0.0,0.003977059241340269
2022-07-11,0.0,0.003977059241340269
2022-07-18,0.0,0.003977059241340269
2022-07-25,0.002129926257824266,0.005631526824279681
2022-08-01,0.0010632643213295268,0.004802973446244595
2022-08-08,0.005299429466498751,0.008093508920378634
2022-08-15,0.0063224657394869155,0.008888175094201504
2022-08-22,0.012526259819180652,0.013707110096472172
2022-08-29,0.01237129180254648,0.013586735243600243
2022-09-05,0.010193768189543206,0.011895295356625403
2022-09-26,0.013972283195014867,0.014830340908197162
2022-10-17,0.02386748140664352,0.022516656153976154
2022-10-24,0.02054227230031458,0.019933726039514852
2022-10-31,0.030939683534828788,0.028010146418296397
2022-11-07,0.009808371098520396,0.011595929596278502
2022-11-14,0.007073415875726852,0.009471492311052971
2022-11-21,0.0,0.003977059241340269
2022-11-28,-0.0008814456278063432,0.003292376749647359
2022-12-05,-0.002649008171577094,0.001919383239311512
2022-12-12,-0.004430667416484013,0.0005354398029063936
2022-12-19,-0.019731581862595604,-0.01134988573239185
2022-12-26,-0.03878602503515616,-0.02615084817142277
2023-01-16,-0.02997640470026397,-0.019307779680886542
2023-02-06,-0.018192047987279025,-0.010154018560844674
2023-02-13,-0.01852914046870069,-0.010415862641556863
2023-02-20,-0.07300846682030482,-0.052733890816475316
2023-02-27,-0.07365290957476489,-0.05323447605617442
2023-03-06,-0.06581321856957167,-0.04714482174034691
2023-03-13,-0.08664038830053045,-0.06332278895290534
2023-03-20,-0.11131291418512035,-0.08248772206518376
2023-03-27,-0.11034805716886709,-0.08173824792273467
2023-04-03,-0.18010180005564003,-0.1359210187914049
2023-04-10,-0.08560136567736443,-0.06251570502610083
2023-04-17,-0.10161017641078196,-0.07495090474372275
2023-04-24,-0.0465200156348935,-0.03215839734690192
2023-05-15,0.3059355127611312,0.24161927172351544
