Tianqi Lithium
Ganfeng Lithium
Mineral Resources Limited
Pilbara Minerals
Allkem Limited
Lithium Americas
Sichuan Yahua Group
Livent
Jiangxi Special Electric Motor
Yongxing Special Materials Technology
Sinomine Resource
Altura Mining Limited
Critical Elements Lithium Corporation
Eramet SA
Galaxy Resources Limited
Infinity Lithium Corporation Limited
Lithium Chile Inc.
Lithium Power International Limited
Lithium South Development Corporation
Lithium Werks
Lithium Energy Products
Lithium Exploration Group
Lithium Corporation
LithiumOre Corp.
Lithium X
Lithium Energi Exploration
Millennial Lithium Corp.
Nemaska Lithium Inc.
Neo Lithium Corp.
North American Lithium Inc.
Piedmont Lithium Limited
Power Metals Corp.
Pure Energy Minerals Limited
QMC Quantum Minerals Corp.
Rare Earth Salts
Sigma Lithium Resources Corporation
Sonora Lithium Ltd.
Ganfeng Lithium
Livent
General Lithium
Neometals
Eramet
Nemaska Lithium
Galaxy Resources
Orocobre
Piedmont Lithium
Lithium Americas
POSCO
Tianqi Lithium
Beta Hunt
Sayona Mining
Pilbara Minerals
Altura Mining
Kidman Resources
Neo Lithium
Bacanora Lithium
Core Lithium
European Metals
Plateau Energy Metals
Millennial Lithium
Lake Resources
Jingmen Gelinmei New Materials
cngr advanced material
varta ag
Zhejiang Huayou Cobalt
Xiangtan Electrochemical Technology
Beijing Easpring Material Tech
Shanghai Putailai New Energy Technology 
Ningbo Shanshan
Hunan Zhongke Electric
Yunnan Energy New Material
Shenzhen Senior Technology Material
Sinoma Science & Technology
Tinci Materials
Do-Fluoride New Materials
TONZE NEW ENERGY TECHNOLOGY
allkem
Mineral Resources Ltd
Livent
Sunresin New Materials
Occidental Petroleum
International Battery Metals
Rio Tinto
Compass Minerals International
Vulcan Energy Resources
