,lithium,nickel,cobalt,aluminium,natural graphite,iron,phosphorous,manganese
0,0.0001,0.0007099999999999999,0.00013000000000000002,2e-05,0.0012,,,
1,8.999999999999999e-05,,,,0.0012,0.00067,0.00037,
2,0.00014000000000000001,0.00035,0.00035,,0.0012,,,0.00033
3,0.00011,0.0005,0.000185,,0.0012,,,0.00021500000000000002
4,0.000105,0.000615,0.000125,,0.0012,,,8e-05
