Date,obs,true_ar,true_ma
2021-01-12,0.024938948347251966,0.020003918239752425,0.018651852145911817
2021-01-19,0.024332100659529843,0.019676487561912506,0.016775703415385007
2021-01-26,0.10054122922187858,0.06079587736534784,0.06286845347355684
2021-02-02,0.0,0.006547861757759918,-0.024094044408355664
2021-02-09,0.0,0.006547861757759918,0.028207315663258306
2021-03-02,0.04839654086184986,0.032660694516478427,0.02587955928178469
2021-03-09,0.053652713492320814,0.03549671449654763,0.030495001707670395
2021-03-16,0.0,0.006547861757759918,-0.004878203782764287
2021-03-23,0.02941388520629218,0.022418414724935224,0.03446227344424116
2021-03-30,0.06317890162153184,0.04063666361308184,0.03107736269351858
2021-04-06,0.05942342047080196,0.03861035657809222,0.03085263603172994
2021-04-13,0.0,0.006547861757759918,-0.005099329052394611
2021-04-20,0.02531780798428862,0.0202083357077117,0.03211059200352844
2021-04-27,0.0,0.006547861757759918,-0.005863368328359023
2021-05-18,0.017291497110061727,0.015877660213228447,0.027700133393397587
2021-05-25,0.022599831917240465,0.018741824812157682,0.010540363109823373
2021-06-01,0.02210034700066643,0.018472322780406447,0.020658396019253025
2021-06-08,0.0,0.006547861757759918,0.0010917061755514844
2021-06-15,0.0,0.006547861757759918,0.01297484104265015
2021-06-22,0.010869672236903938,0.012412701025396558,0.012359350463863947
2021-06-29,0.01608613775162482,0.015227296638053372,0.015901182118453434
2021-07-06,0.0,0.006547861757759918,0.003980831161884997
2021-07-13,0.0314161962333781,0.023498781462931755,0.030299745825377707
2021-07-20,0.005141399500418586,0.009321954759229398,-0.0016411791426634292
2021-07-27,0.0,0.006547861757759918,0.014634561995057319
2021-08-03,0.04512043528047016,0.030893039315858323,0.032152363780065835
2021-08-10,0.06177735969624365,0.03988044779171035,0.03162954044764666
2021-08-17,0.027274417919658234,0.021264043969221547,0.010992920881104961
2021-08-24,0.04814934389758285,0.03252731694710227,0.036203485536103086
2021-08-31,0.025317807984290397,0.020208335707712657,0.007026819944563004
2021-09-07,0.08004270767353638,0.04973569712393735,0.05798145939303665
2021-09-14,0.09180754925312229,0.056083533872797124,0.03418092582986816
2021-10-19,0.0,0.006547861757759918,-0.007120722749052117
2021-10-26,0.01634913800153015,0.01536920102665179,0.027891437444823947
2021-11-02,0.008075414005544346,0.010905031332877615,0.001603291154328489
2021-11-09,0.0,0.006547861757759918,0.012664148050687348
2021-11-16,0.0,0.006547861757759918,0.005946728974428316
2021-11-23,0.008010723746080473,0.010870127062935674,0.014891344068871817
2021-11-30,0.005305052229692464,0.009410255209508176,0.007815955764259787
2021-12-07,0.01052641298698731,0.012227492098759783,0.015283950106688687
2021-12-14,0.0,0.006547861757759918,0.004355685127472909
2021-12-21,0.025841231183887814,0.02049075387706358,0.026686334304551987
2021-12-28,0.09252336889714563,0.0564697614485064,0.05362163759479582
2022-01-04,0.034289073478632304,0.025048870822743565,0.0018969030245592974
2022-01-11,0.13043672142494245,0.07692628615564957,0.09170194909612688
2022-01-18,0.08322380556173137,0.051452089983101974,0.008488950328029037
2022-01-25,0.0801823042396883,0.04981101783324222,0.05717826539309107
2022-02-15,0.12921173148000697,0.07626533070318195,0.05738482045799649
2022-02-22,0.1347932224449444,0.07927687941133767,0.06064909711276727
2022-03-01,0.07058890693852504,0.04463480534259516,0.019674440964642444
2022-03-08,0.09413440071531376,0.05733900961557861,0.05885846531011442
2022-03-15,0.031581572050299656,0.023588011622209793,-0.0029278034731091574
2022-03-22,0.018481018808179428,0.01651947842198187,0.026639738841337395
2022-03-29,0.0,0.006547861757759918,-0.0025408503387085533
2022-04-19,-0.008171649149318228,0.002138767558069319,0.010218184142684106
2022-04-26,-0.03868752199162273,-0.01432637374804343,-0.016063295737526594
2022-05-17,-0.003203419717538125,0.004819424934582035,0.02144783958473684
2022-05-24,0.0,0.006547861757759918,0.000612265503499354
2022-05-31,0.0,0.006547861757759918,0.01326601232524759
2022-06-07,0.0,0.006547861757759918,0.005581208057094986
2022-06-14,0.0,0.006547861757759918,0.010248301327707564
2022-06-21,0.0,0.006547861757759918,0.007413907784743138
2022-06-28,0.0,0.006547861757759918,0.009135276159141182
2022-07-05,0.0,0.006547861757759918,0.008089864138734616
2022-07-12,0.0,0.006547861757759918,0.008724758045620014
2022-07-19,0.0,0.006547861757759918,0.008339177752748079
2022-07-26,0.0,0.006547861757759918,0.00857334626600496
2022-08-02,0.0,0.006547861757759918,0.00843113232609504
2022-08-09,0.0,0.006547861757759918,0.00851750091777037
2022-08-16,0.0,0.006547861757759918,0.008465048017353543
2022-08-23,0.0,0.006547861757759918,0.008496903425769604
2022-08-30,0.013807972966334958,0.01399809027380327,0.016863339746884542
2022-09-06,0.017773599083964697,0.016137783106166443,0.014190663778929611
2022-09-13,0.006198366952338219,0.00989225201212962,0.008784012091662862
2022-09-20,0.002057613894679733,0.007658067705477595,0.00955281071936593
2022-09-27,0.020346581859168822,0.017526061435639607,0.020193064076314944
2022-10-18,0.027054790231632708,0.021145541675783558,0.01780507603569722
2022-10-25,0.020755462051450735,0.017746676791391754,0.015429662348183028
2022-11-01,0.02944094880575321,0.022433017157960183,0.02214710787023118
2022-11-08,0.011717123687754238,0.012869951845663993,0.0073035691477014815
2022-11-15,0.0035778213478838694,0.00847831068725172,0.011375149296564165
2022-11-22,0.0,0.006547861757759918,0.006729556643329048
2022-11-29,0.0,0.006547861757759918,0.009550892549016723
2022-12-06,-0.0017873105740946471,0.0055835006427279715,0.00675199459119078
2022-12-13,-0.00448230243950043,0.0041293911007188955,0.006815098270580438
