Date,r_obs,r_true_ar,r_true_ma1,r_true_ma2,r_true_ma3
2021-01-14,0.09774228477293789,0.08946775512481833,0.04999345594679293,0.07145262671130834,0.07532351241471946
2021-01-21,0.06656076651833764,0.06176671678401034,0.02288951788197013,0.034802529291295126,0.04744184516460194
2021-01-28,0.06595796779179786,0.06123120242902202,0.03800279912332445,0.040234365202140646,0.037747985091181546
2021-02-04,0.02105340919783316,0.021338889003746128,0.0046772876492591105,0.017024783565944637,0.01501910074621441
2021-02-25,0.0779615414697119,0.0718949376571665,0.05554385063114445,0.06197070061991257,0.0597513725518017
2021-03-04,0.030771658666754576,0.029972387826543594,0.00019505518484649702,0.025236907338482634,0.038011034642371225
2021-03-11,0.012048338516173374,0.013338963978365362,0.020895933492812893,-0.0180889080944859,-0.004729034163538679
2021-03-18,0.011904902506319814,0.013211538290624202,0.00910988192300816,0.03568333262612542,-0.0004076818563188665
2021-03-25,0.029156584291454735,0.02853758799325334,0.025530811346508184,0.02979275893436293,0.04589269048819458
2021-04-01,0.01709443335930061,0.01782181390181958,0.009423210093228227,-0.0013116591942588865,0.025565788785854207
2021-04-08,0.01680711831638071,0.017566568953359098,0.018369938451966092,0.024371372842839946,-0.0023731871901047086
2021-04-15,0.0,0.0026354605615516707,0.0038055003624946886,0.004421330771644855,0.0017589757420749322
2021-04-22,0.0,0.0026354605615516707,0.012042053562522977,-0.005908785364923286,0.015204612603530225
2021-04-29,-0.01117330059812538,-0.0072906766372481755,0.0010652873009361682,0.007307859712834538,-0.0038855481190175
2021-05-06,0.0,0.0026354605615516707,0.013591713332551169,0.0047036681459346995,-0.001960662416798202
2021-05-13,0.0,0.0026354605615516707,0.006507700359509723,0.005803700433342234,0.012892801463850509
2021-05-20,0.0,0.0026354605615516707,0.010513890101586269,0.006563498623398653,0.0106362385278572
2021-05-27,0.0,0.0026354605615516707,0.008248287743722254,0.005037829246313992,-0.0008517490534401782
2021-06-03,-0.01129955525393278,-0.00740283875304606,0.0031393572471530087,-0.005083582562254826,-0.004346402366243781
2021-06-10,0.0,0.0026354605615516707,0.012418773927698492,0.008989773487753065,0.008528878323880407
2021-06-17,0.0,0.0026354605615516707,0.007171027410087427,0.01036492802147192,0.010803012244718267
2021-06-24,-0.005698021114637797,-0.002426547647109836,0.006916385654999978,-0.006538345913418241,-0.000974633507859219
2021-07-01,0.0,0.0026354605615516707,0.01028276814651541,0.010607864334822966,0.0014751373766589415
2021-07-08,0.0,0.0026354605615516707,0.00837899309198831,0.009809442175189156,0.011339643417514478
2021-07-15,0.0,0.0026354605615516707,0.009455626382278592,-0.0015557066587967155,0.007885454498752038
2021-07-22,0.005698021114637797,0.007697468770213178,0.012069138922648635,0.015739042043233026,0.005951544229297589
2021-07-29,0.005665737535677451,0.00766878868314182,0.010572873817888222,0.01084041543530387,0.011544929119141276
2021-08-05,0.03878602503515616,0.03709219091745375,0.030149416141161102,0.03583953204578047,0.03867845910598475
2021-08-12,0.02681125745065671,0.02645404644764283,0.012306346647043779,0.026525973168530215,0.031336909467246085
2021-08-19,0.051557809664849685,0.04843838941936561,0.03639186265544106,0.033722994632677625,0.03423966620284709
2021-08-26,0.07733320340317107,0.07133673466236302,0.03734753155983003,0.07607192547437297,0.06516635339316652
2021-09-02,0.1182996980290234,0.10773055067393005,0.05997467274515458,0.08788045396478977,0.10462920968601641
2021-09-09,0.10204925435417067,0.09329398092076145,0.037988408135180084,0.0593901507252099,0.0769827331098837
2021-09-16,0.12274582499851228,0.11168040111560126,0.062126638778374994,0.0877349279273844,0.0723085625149684
2021-09-23,0.06081874003503884,0.05666561508430948,0.013454510366215455,0.034078021696273206,0.04648544004154791
2021-09-30,0.0933319397922201,0.08554969268765558,0.059366881569270794,0.054602150986455184,0.06286510820858938
2021-10-21,0.01591545530589933,0.016774433335114115,-0.010378728014863699,0.019631171848389924,0.015605575499602328
2021-10-28,0.0182534403093495,0.018851452538989875,0.030386380989223118,-0.013185499510743878,-0.0022721575386489105
2021-11-04,0.0,0.0026354605615516707,-0.002990112092042906,0.027529026096545124,0.0043678314648386805
2021-11-11,0.015384918839480122,0.01630311532944558,0.024585708502297406,0.013013056818979376,0.02963432125247675
2021-11-18,0.010126668817928675,0.01163179098073264,0.006017205150561868,0.004142364594887694,0.012406199801886578
2021-11-25,0.0075282664207918515,0.009323422163017504,0.015048704064360718,0.016851833068976498,0.0015420907524866453
2021-12-02,0.03681397312271528,0.035340259366509176,0.02650297452629092,0.037548657113659414,0.03474782135291464
2021-12-09,0.040147068013412834,0.03830131432883906,0.021910242861107754,0.032269338016675087,0.05028698826014469
2021-12-16,0.0885533973414443,0.08130453096841858,0.05188256195623175,0.07260324655975611,0.06637043782353005
2021-12-23,0.07350246199292698,0.06793358046658435,0.02642076464139735,0.056339690887198576,0.05806381722287597
2021-12-30,0.06662787235545409,0.061826332270070915,0.036932304075360946,0.026301653023485395,0.045118676382147574
2022-01-06,0.08639731495006941,0.07938911041378907,0.04216788414947464,0.0817890979333561,0.06093820762184804
2022-01-13,0.08108166880595569,0.07466679649559047,0.036200896940059006,0.057465184976849965,0.07224660948988745
2022-01-20,0.06336961393258989,0.05893176053180394,0.029558761981048953,0.02086510387578566,0.04327831740470522
2022-01-27,0.062343130574134875,0.058019853207837487,0.0327345560148419,0.06042888939244378,0.03319027549108148
2022-02-17,0.11314265609988183,0.10314913757409712,0.0596669893453135,0.0966513343287993,0.09489191596906428
2022-02-24,0.0717796823941299,0.06640309746285829,0.02104419690219573,0.02854233780869465,0.07424623155495182
2022-03-03,0.060879236712782614,0.056719359125122,0.03672189019785319,0.02965949281028555,0.017475978492052433
2022-03-10,0.020161973290344193,0.020546955139265948,0.004829105562916347,0.029177930661051045,4.456889946979556e-05
2022-03-17,0.0039840690148746916,0.006174827940405552,0.013716270728653052,-0.015854189103489784,0.018309321551764887
2022-03-24,0.0,0.0026354605615516707,0.0064372599163908814,0.013270373839754811,0.0075221967291171105
