,Adjusted_R2,AIC,BIC,Rho_1,Rho_2,Ljung_Box_pvalue,alpha(0),"phi(1,0)","phi(1,1)","phi(2,0)","phi(2,1)"
Fridays,0.552309,-1314.21,-1295.47,-0.02678,-0.022927,0.0065,-0.000563931770503707,0.667831712145004,-0.20859117356556994,0.062466555605816446,0.3979020212864063
Mondays,0.473283,-1400.1,-1380.84,-0.008128,-0.002324,0.063276,0.0003013173596898683,0.44854223066777965,0.3939680604028669,0.17710164850922575,0.22007474693746587
Tuesdays,0.48711,-1394.41,-1375.2,-0.003339,0.016705,0.402626,0.00022188114758359985,0.4347408443735079,0.6305275176269853,0.21471744072429483,-0.1293516345551646
Wednesdays,0.51897,-1366.36,-1347.32,-0.000314,-0.010942,0.556479,-0.00026129597500466775,0.5776843790684911,0.07073535255943729,0.12325623025796725,0.20871200500131018
Thursdays,0.574965,-1423.33,-1404.29,-0.041446,0.028661,0.659546,-0.0005030347640431424,0.777964451324592,-0.48201214080701205,0.005562057073019121,0.46116305924358997
