,Adjusted_R2,AIC,BIC,Rho_1,Rho_2,Ljung_Box_pvalue,alpha(0),"phi(1,0)","phi(1,1)","phi(2,0)","phi(2,1)"
Fridays,0.547023,-1310.53,-1291.78,-0.03576,-0.050842,0.00215,-0.0007984393301076335,0.7123781685821112,-0.22526349685915206,0.043202398381360835,0.2348177775114589
Mondays,0.463784,-1393.88,-1374.62,-0.017668,-0.018498,0.028442,-0.00015557726556424792,0.47173468270299646,0.13458911254249117,0.20828559106854033,0.08433143720181072
Tuesdays,0.478281,-1388.53,-1369.31,0.002189,0.014999,0.413401,-7.571084221811447e-05,0.40216642551316995,0.45907905135743704,0.273667685756696,-0.17124396665510117
Wednesdays,0.516675,-1364.77,-1345.73,0.003496,-0.008668,0.47689,-0.00038273222637620694,0.587413168484109,0.025436716728634345,0.1520968310095379,0.057925563373165095
Thursdays,0.574575,-1423.02,-1403.98,-0.036355,-0.026966,0.50359,-0.0005343669942970656,0.8453422861044732,-0.48818570332855615,-0.07213972810146357,0.4647554813645309
