,Adjusted_R2,AIC,BIC,Rho_1,Rho_2,Ljung_Box_pvalue,alpha(0),"phi(1,0)","phi(1,1)","phi(2,0)","phi(2,1)"
Fridays,0.559071,-1318.99,-1300.25,-0.05022,-0.079703,0.000987,-0.0008147012674890218,0.8727257208157361,-0.5621679774276664,-0.1515044858262442,0.6573688154010362
Mondays,0.469032,-1397.3,-1378.04,-0.032105,-0.049343,0.018264,-0.00014213883583356112,0.5836934862969327,-0.17655084128243512,0.06102752547804096,0.4373213062249219
Tuesdays,0.477568,-1388.05,-1368.84,-0.013138,-0.019699,0.363034,4.821227973916467e-05,0.40572501833594943,0.3392585235146527,0.19687893598055212,0.09510411078508269
Wednesdays,0.521445,-1368.07,-1349.03,-0.007487,-0.032888,0.535028,-0.00021921659686171895,0.6216770362594597,-0.07677057542585264,0.039594844594698725,0.37177373916952217
Thursdays,0.572583,-1421.47,-1402.43,-0.041977,-0.021041,0.653509,-0.0004139551741990038,0.8306898047376301,-0.4023702798824908,-0.10478422352124857,0.5307083547355913
